"","GDAY_DS","BA"
"1",2020-05-05,0.258
"2",2020-05-06,0.21
"3",2020-05-07,0.257
"4",2020-05-08,0.241
"5",2020-05-09,0.253
"6",2020-05-10,0.268
"7",2020-05-12,0.265
"8",2020-05-13,0.264
"9",2020-05-14,0.262
"10",2020-05-15,0.263
"11",2020-05-16,0.264
"12",2020-05-17,0.256
"13",2020-05-19,0.259
"14",2020-05-20,0.256
"15",2020-05-21,0.261
"16",2020-05-22,0.259
"17",2020-05-23,0.255
"18",2020-05-24,0.253
"19",2020-05-26,0.245
"20",2020-05-27,0.252
"21",2020-05-28,0.242
"22",2020-05-29,0.25
"23",2020-05-30,0.237
"24",2020-05-31,0.227
"25",2020-06-02,0.227
"26",2020-06-03,0.224
"27",2020-06-04,0.223
"28",2020-06-05,0.214
"29",2020-06-06,0.215
"30",2020-06-07,0.215
"31",2020-06-09,0.215
"32",2020-06-10,0.213
"33",2020-06-11,0.204
"34",2020-06-12,0.2
"35",2020-06-13,0.205
"36",2020-06-14,0.207
"37",2020-06-16,0.217
"38",2020-06-17,0.209
"39",2020-06-18,0.215
"40",2020-06-19,0.202
"41",2020-06-20,0.214
"42",2020-06-21,0.216
"43",2020-06-23,0.221
"44",2020-06-24,0.222
"45",2020-06-25,0.228
"46",2020-06-26,0.243
"47",2020-06-27,0.239
"48",2020-06-28,0.243
"49",2020-07-01,0.248
"50",2020-07-02,0.254
"51",2020-07-03,0.252
"52",2020-07-04,0.259
"53",2020-07-05,0.259
"54",2020-07-07,0.258
"55",2020-07-08,0.252
"56",2020-07-09,0.256
"57",2020-07-10,0.252
"58",2020-07-11,0.256
"59",2020-07-13,0.257
"60",2020-07-14,0.26
"61",2020-07-15,0.258
"62",2020-07-16,0.256
"63",2020-07-17,0.243
"64",2020-07-18,0.235
"65",2020-07-19,0.236
"66",2020-07-21,0.229
"67",2020-07-22,0.215
"68",2020-07-24,0.213
"69",2020-07-26,0.217
"70",2020-07-27,0.211
"71",2020-07-29,0.218
"72",2020-07-30,0.21
"73",2020-07-31,0.216
"74",2020-08-01,0.216
"75",2020-08-05,0.227
"76",2020-08-06,0.225
"77",2020-08-09,0.222
"78",2020-08-11,0.22
"79",2020-08-12,0.211
"80",2020-08-13,0.216
"81",2020-08-14,0.218
"82",2020-08-15,0.217
"83",2020-08-16,0.208
"84",2020-08-18,0.213
"85",2020-08-19,0.222
"86",2020-08-20,0.212
"87",2020-08-21,0.217
"88",2020-08-23,0.218
"89",2020-08-23,0.216
"90",2020-08-25,0.228
"91",2020-08-26,0.223
"92",2020-08-27,0.228
"93",2020-08-29,0.224
"94",2020-08-30,0.225
"95",2020-09-01,0.217
"96",2020-09-03,0.221
"97",2020-09-04,0.233
"98",2020-09-05,0.231
"99",2020-09-06,0.239
"100",2020-09-08,0.241
"101",2020-09-09,0.251
"102",2020-09-09,0.259
"103",2020-09-10,0.252
"104",2020-09-11,0.258
"105",2020-09-12,0.251
"106",2020-09-13,0.252
"107",2020-09-15,0.247
"108",2020-09-16,0.245
"109",2020-09-17,0.239
"110",2020-09-18,0.233
"111",2020-09-19,0.226
"112",2020-09-20,0.238
