"","GDAY_DS","BA"
"1",2020-05-05,0.167
"2",2020-05-06,0.198
"3",2020-05-07,0.202
"4",2020-05-08,0.269
"5",2020-05-10,0.282
"6",2020-05-12,0.289
"7",2020-05-13,0.28
"8",2020-05-14,0.27
"9",2020-05-15,0.283
"10",2020-05-16,0.3
"11",2020-05-17,0.299
"12",2020-05-19,0.312
"13",2020-05-20,0.322
"14",2020-05-21,0.32
"15",2020-05-22,0.316
"16",2020-05-23,0.314
"17",2020-05-24,0.311
"18",2020-05-26,0.301
"19",2020-05-27,0.309
"20",2020-05-28,0.314
"21",2020-05-29,0.315
"22",2020-05-30,0.302
"23",2020-05-31,0.303
"24",2020-06-02,0.301
"25",2020-06-03,0.309
"26",2020-06-04,0.314
"27",2020-06-05,0.308
"28",2020-06-06,0.293
"29",2020-06-07,0.289
"30",2020-06-09,0.276
"31",2020-06-10,0.26
"32",2020-06-11,0.267
"33",2020-06-13,0.263
"34",2020-06-13,0.261
"35",2020-06-14,0.262
"36",2020-06-16,0.268
"37",2020-06-17,0.269
"38",2020-06-18,0.27
"39",2020-06-19,0.277
"40",2020-06-20,0.274
"41",2020-06-21,0.266
"42",2020-06-23,0.263
"43",2020-06-25,0.254
"44",2020-06-25,0.259
"45",2020-06-26,0.26
"46",2020-06-27,0.26
"47",2020-06-28,0.262
"48",2020-06-30,0.265
"49",2020-07-01,0.279
"50",2020-07-02,0.277
"51",2020-07-03,0.284
"52",2020-07-04,0.288
"53",2020-07-05,0.294
"54",2020-07-07,0.295
"55",2020-07-08,0.293
"56",2020-07-09,0.289
"57",2020-07-10,0.289
"58",2020-07-11,0.301
"59",2020-07-14,0.306
"60",2020-07-15,0.308
"61",2020-07-16,0.311
"62",2020-07-17,0.3
"63",2020-07-18,0.29
"64",2020-07-19,0.288
"65",2020-07-21,0.293
"66",2020-07-24,0.289
"67",2020-07-25,0.28
"68",2020-07-26,0.273
"69",2020-07-30,0.275
"70",2020-07-31,0.281
"71",2020-08-01,0.278
"72",2020-08-04,0.283
"73",2020-08-05,0.284
"74",2020-08-06,0.276
"75",2020-08-09,0.273
"76",2020-08-11,0.272
"77",2020-08-12,0.26
"78",2020-08-13,0.26
"79",2020-08-14,0.26
"80",2020-08-15,0.26
"81",2020-08-16,0.272
"82",2020-08-18,0.279
"83",2020-08-19,0.27
"84",2020-08-20,0.27
"85",2020-08-21,0.262
"86",2020-08-23,0.271
"87",2020-08-24,0.272
"88",2020-08-25,0.258
"89",2020-08-26,0.254
"90",2020-08-27,0.238
"91",2020-08-28,0.23
"92",2020-08-30,0.234
"93",2020-08-30,0.231
"94",2020-09-01,0.232
"95",2020-09-03,0.248
"96",2020-09-04,0.253
"97",2020-09-04,0.254
"98",2020-09-05,0.259
"99",2020-09-06,0.259
"100",2020-09-08,0.254
"101",2020-09-09,0.251
"102",2020-09-10,0.254
"103",2020-09-11,0.257
"104",2020-09-12,0.252
"105",2020-09-13,0.251
"106",2020-09-15,0.255
"107",2020-09-16,0.264
"108",2020-09-17,0.276
"109",2020-09-18,0.284
"110",2020-09-19,0.285
"111",2020-09-20,0.287
