"","GDAY_DS","BA"
"1",2020-05-05,0.219
"2",2020-05-06,0.276
"3",2020-05-07,0.301
"4",2020-05-08,0.309
"5",2020-05-10,0.288
"6",2020-05-12,0.3
"7",2020-05-13,0.306
"8",2020-05-14,0.301
"9",2020-05-15,0.294
"10",2020-05-16,0.295
"11",2020-05-17,0.285
"12",2020-05-19,0.277
"13",2020-05-20,0.264
"14",2020-05-21,0.261
"15",2020-05-22,0.266
"16",2020-05-23,0.264
"17",2020-05-24,0.264
"18",2020-05-26,0.261
"19",2020-05-27,0.257
"20",2020-05-28,0.247
"21",2020-05-29,0.244
"22",2020-05-30,0.24
"23",2020-05-31,0.24
"24",2020-06-02,0.232
"25",2020-06-03,0.218
"26",2020-06-04,0.219
"27",2020-06-05,0.222
"28",2020-06-06,0.215
"29",2020-06-07,0.221
"30",2020-06-09,0.235
"31",2020-06-10,0.249
"32",2020-06-11,0.254
"33",2020-06-12,0.249
"34",2020-06-13,0.25
"35",2020-06-14,0.256
"36",2020-06-16,0.261
"37",2020-06-17,0.268
"38",2020-06-18,0.274
"39",2020-06-19,0.275
"40",2020-06-20,0.28
"41",2020-06-21,0.283
"42",2020-06-23,0.286
"43",2020-06-26,0.293
"44",2020-06-27,0.289
"45",2020-06-28,0.289
"46",2020-06-30,0.298
"47",2020-07-01,0.293
"48",2020-07-02,0.285
"49",2020-07-03,0.28
"50",2020-07-04,0.284
"51",2020-07-05,0.282
"52",2020-07-07,0.285
"53",2020-07-08,0.284
"54",2020-07-09,0.278
"55",2020-07-10,0.275
"56",2020-07-11,0.275
"57",2020-07-14,0.275
"58",2020-07-15,0.274
"59",2020-07-16,0.281
"60",2020-07-17,0.285
"61",2020-07-18,0.284
"62",2020-07-19,0.284
"63",2020-07-21,0.284
"64",2020-07-24,0.28
"65",2020-07-25,0.283
"66",2020-07-26,0.28
"67",2020-07-28,0.286
"68",2020-07-31,0.275
"69",2020-08-01,0.281
"70",2020-08-02,0.283
"71",2020-08-04,0.283
"72",2020-08-06,0.283
"73",2020-08-07,0.288
"74",2020-08-08,0.288
"75",2020-08-12,0.292
"76",2020-08-13,0.286
"77",2020-08-14,0.285
"78",2020-08-15,0.277
"79",2020-08-16,0.276
"80",2020-08-18,0.274
"81",2020-08-19,0.276
"82",2020-08-20,0.278
"83",2020-08-21,0.269
"84",2020-08-22,0.275
"85",2020-08-23,0.268
"86",2020-08-25,0.274
"87",2020-08-26,0.264
"88",2020-08-27,0.264
"89",2020-08-28,0.262
"90",2020-08-29,0.27
"91",2020-08-30,0.27
"92",2020-09-01,0.266
"93",2020-09-03,0.253
"94",2020-09-04,0.251
"95",2020-09-04,0.254
"96",2020-09-06,0.249
"97",2020-09-07,0.261
"98",2020-09-08,0.261
"99",2020-09-09,0.255
"100",2020-09-10,0.264
"101",2020-09-11,0.28
"102",2020-09-12,0.273
"103",2020-09-13,0.267
"104",2020-09-15,0.268
"105",2020-09-16,0.28
"106",2020-09-17,0.274
"107",2020-09-18,0.269
"108",2020-09-19,0.263
"109",2020-09-20,0.26
"110",2020-09-20,0.265
