"","GDAY_DS","BA"
"1",2020-05-05,0.212
"2",2020-05-06,0.227
"3",2020-05-07,0.237
"4",2020-05-08,0.266
"5",2020-05-10,0.276
"6",2020-05-12,0.281
"7",2020-05-13,0.283
"8",2020-05-14,0.284
"9",2020-05-15,0.283
"10",2020-05-16,0.272
"11",2020-05-17,0.278
"12",2020-05-19,0.28
"13",2020-05-20,0.269
"14",2020-05-21,0.281
"15",2020-05-22,0.276
"16",2020-05-23,0.278
"17",2020-05-24,0.284
"18",2020-05-26,0.284
"19",2020-05-27,0.293
"20",2020-05-28,0.299
"21",2020-05-29,0.298
"22",2020-05-30,0.286
"23",2020-05-31,0.293
"24",2020-06-02,0.287
"25",2020-06-03,0.293
"26",2020-06-04,0.294
"27",2020-06-05,0.301
"28",2020-06-06,0.31
"29",2020-06-07,0.309
"30",2020-06-09,0.312
"31",2020-06-10,0.315
"32",2020-06-11,0.312
"33",2020-06-12,0.314
"34",2020-06-13,0.314
"35",2020-06-14,0.314
"36",2020-06-16,0.314
"37",2020-06-17,0.305
"38",2020-06-19,0.298
"39",2020-06-20,0.298
"40",2020-06-21,0.308
"41",2020-06-23,0.296
"42",2020-06-25,0.295
"43",2020-06-25,0.288
"44",2020-06-26,0.289
"45",2020-06-27,0.278
"46",2020-06-28,0.277
"47",2020-06-30,0.274
"48",2020-07-01,0.266
"49",2020-07-02,0.275
"50",2020-07-03,0.268
"51",2020-07-04,0.278
"52",2020-07-05,0.273
"53",2020-07-07,0.265
"54",2020-07-08,0.261
"55",2020-07-09,0.268
"56",2020-07-10,0.276
"57",2020-07-11,0.274
"58",2020-07-14,0.263
"59",2020-07-15,0.268
"60",2020-07-16,0.277
"61",2020-07-17,0.273
"62",2020-07-18,0.272
"63",2020-07-19,0.281
"64",2020-07-21,0.282
"65",2020-07-24,0.279
"66",2020-07-25,0.278
"67",2020-07-26,0.27
"68",2020-07-28,0.278
"69",2020-07-31,0.277
"70",2020-08-01,0.282
"71",2020-08-02,0.279
"72",2020-08-05,0.279
"73",2020-08-06,0.275
"74",2020-08-08,0.264
"75",2020-08-09,0.273
"76",2020-08-12,0.282
"77",2020-08-13,0.284
"78",2020-08-14,0.277
"79",2020-08-15,0.282
"80",2020-08-16,0.279
"81",2020-08-18,0.274
"82",2020-08-19,0.266
"83",2020-08-20,0.28
"84",2020-08-21,0.284
"85",2020-08-23,0.286
"86",2020-08-24,0.276
"87",2020-08-25,0.277
"88",2020-08-26,0.276
"89",2020-08-27,0.286
"90",2020-08-28,0.291
"91",2020-08-29,0.299
"92",2020-08-30,0.302
"93",2020-09-01,0.3
"94",2020-09-02,0.3
"95",2020-09-03,0.302
"96",2020-09-04,0.306
"97",2020-09-06,0.298
"98",2020-09-08,0.306
"99",2020-09-09,0.306
"100",2020-09-10,0.316
"101",2020-09-11,0.309
"102",2020-09-12,0.305
"103",2020-09-13,0.305
"104",2020-09-15,0.302
"105",2020-09-16,0.293
"106",2020-09-17,0.29
"107",2020-09-18,0.284
"108",2020-09-19,0.285
"109",2020-09-20,0.278
"110",2020-09-21,0.284
