"","GDAY_DS","BA"
"1",2020-05-05,0.1
"2",2020-05-06,0.128
"3",2020-05-07,0.138
"4",2020-05-08,0.153
"5",2020-05-09,0.195
"6",2020-05-10,0.195
"7",2020-05-12,0.194
"8",2020-05-13,0.19
"9",2020-05-14,0.214
"10",2020-05-15,0.224
"11",2020-05-16,0.225
"12",2020-05-17,0.224
"13",2020-05-19,0.231
"14",2020-05-20,0.228
"15",2020-05-21,0.218
"16",2020-05-22,0.225
"17",2020-05-23,0.228
"18",2020-05-24,0.24
"19",2020-05-26,0.242
"20",2020-05-27,0.251
"21",2020-05-28,0.254
"22",2020-05-29,0.257
"23",2020-05-30,0.257
"24",2020-05-31,0.263
"25",2020-06-02,0.263
"26",2020-06-03,0.272
"27",2020-06-04,0.256
"28",2020-06-05,0.251
"29",2020-06-06,0.25
"30",2020-06-07,0.254
"31",2020-06-09,0.254
"32",2020-06-10,0.258
"33",2020-06-11,0.266
"34",2020-06-13,0.261
"35",2020-06-13,0.258
"36",2020-06-14,0.257
"37",2020-06-16,0.264
"38",2020-06-17,0.26
"39",2020-06-18,0.26
"40",2020-06-19,0.259
"41",2020-06-20,0.253
"42",2020-06-21,0.259
"43",2020-06-23,0.265
"44",2020-06-24,0.265
"45",2020-06-25,0.27
"46",2020-06-26,0.276
"47",2020-06-27,0.281
"48",2020-06-28,0.274
"49",2020-06-30,0.271
"50",2020-07-01,0.273
"51",2020-07-02,0.28
"52",2020-07-03,0.286
"53",2020-07-04,0.289
"54",2020-07-05,0.282
"55",2020-07-07,0.294
"56",2020-07-08,0.294
"57",2020-07-09,0.299
"58",2020-07-10,0.3
"59",2020-07-11,0.301
"60",2020-07-14,0.298
"61",2020-07-15,0.292
"62",2020-07-16,0.294
"63",2020-07-17,0.307
"64",2020-07-18,0.307
"65",2020-07-19,0.302
"66",2020-07-21,0.307
"67",2020-07-25,0.305
"68",2020-07-26,0.307
"69",2020-07-29,0.303
"70",2020-07-30,0.293
"71",2020-07-31,0.29
"72",2020-08-01,0.286
"73",2020-08-02,0.275
"74",2020-08-04,0.271
"75",2020-08-05,0.275
"76",2020-08-06,0.276
"77",2020-08-07,0.273
"78",2020-08-08,0.27
"79",2020-08-11,0.272
"80",2020-08-12,0.273
"81",2020-08-13,0.264
"82",2020-08-14,0.266
"83",2020-08-15,0.259
"84",2020-08-16,0.254
"85",2020-08-18,0.252
"86",2020-08-19,0.252
"87",2020-08-20,0.251
"88",2020-08-21,0.258
"89",2020-08-22,0.261
"90",2020-08-23,0.256
"91",2020-08-25,0.254
"92",2020-08-26,0.257
"93",2020-08-27,0.251
"94",2020-08-29,0.25
"95",2020-08-30,0.255
"96",2020-09-01,0.246
"97",2020-09-03,0.258
"98",2020-09-04,0.261
"99",2020-09-06,0.262
"100",2020-09-08,0.253
"101",2020-09-09,0.259
"102",2020-09-09,0.256
"103",2020-09-10,0.261
"104",2020-09-11,0.255
"105",2020-09-12,0.253
"106",2020-09-13,0.26
"107",2020-09-15,0.265
"108",2020-09-16,0.278
"109",2020-09-17,0.277
"110",2020-09-18,0.277
"111",2020-09-19,0.28
"112",2020-09-20,0.289
