"","GDAY_DS","BA"
"1",2020-05-05,0.316
"2",2020-05-06,0.271
"3",2020-05-07,0.269
"4",2020-05-08,0.275
"5",2020-05-09,0.249
"6",2020-05-10,0.25
"7",2020-05-12,0.248
"8",2020-05-13,0.225
"9",2020-05-14,0.226
"10",2020-05-16,0.221
"11",2020-05-16,0.227
"12",2020-05-17,0.241
"13",2020-05-19,0.251
"14",2020-05-20,0.247
"15",2020-05-21,0.253
"16",2020-05-22,0.25
"17",2020-05-23,0.255
"18",2020-05-24,0.249
"19",2020-05-26,0.24
"20",2020-05-27,0.245
"21",2020-05-28,0.251
"22",2020-05-29,0.247
"23",2020-05-30,0.262
"24",2020-05-31,0.262
"25",2020-06-02,0.273
"26",2020-06-03,0.284
"27",2020-06-04,0.288
"28",2020-06-05,0.292
"29",2020-06-06,0.293
"30",2020-06-07,0.283
"31",2020-06-09,0.28
"32",2020-06-10,0.276
"33",2020-06-11,0.268
"34",2020-06-12,0.263
"35",2020-06-13,0.265
"36",2020-06-14,0.271
"37",2020-06-16,0.273
"38",2020-06-17,0.272
"39",2020-06-18,0.26
"40",2020-06-19,0.257
"41",2020-06-20,0.252
"42",2020-06-21,0.254
"43",2020-06-23,0.249
"44",2020-06-25,0.249
"45",2020-06-25,0.245
"46",2020-06-26,0.248
"47",2020-06-27,0.241
"48",2020-06-28,0.24
"49",2020-06-30,0.245
"50",2020-07-01,0.253
"51",2020-07-02,0.267
"52",2020-07-03,0.27
"53",2020-07-04,0.269
"54",2020-07-05,0.275
"55",2020-07-07,0.276
"56",2020-07-08,0.277
"57",2020-07-09,0.282
"58",2020-07-10,0.29
"59",2020-07-11,0.288
"60",2020-07-13,0.28
"61",2020-07-14,0.278
"62",2020-07-15,0.28
"63",2020-07-16,0.28
"64",2020-07-17,0.281
"65",2020-07-18,0.284
"66",2020-07-19,0.284
"67",2020-07-21,0.276
"68",2020-07-24,0.271
"69",2020-07-25,0.254
"70",2020-07-26,0.264
"71",2020-07-28,0.257
"72",2020-07-30,0.259
"73",2020-07-31,0.263
"74",2020-08-01,0.273
"75",2020-08-02,0.274
"76",2020-08-04,0.272
"77",2020-08-05,0.276
"78",2020-08-06,0.283
"79",2020-08-07,0.276
"80",2020-08-08,0.274
"81",2020-08-09,0.277
"82",2020-08-11,0.273
"83",2020-08-12,0.277
"84",2020-08-13,0.285
"85",2020-08-14,0.279
"86",2020-08-15,0.283
"87",2020-08-16,0.291
"88",2020-08-18,0.282
"89",2020-08-19,0.282
"90",2020-08-20,0.275
"91",2020-08-21,0.27
"92",2020-08-22,0.26
"93",2020-08-23,0.265
"94",2020-08-25,0.264
"95",2020-08-26,0.256
"96",2020-08-27,0.263
"97",2020-08-28,0.27
"98",2020-08-29,0.269
"99",2020-08-30,0.273
"100",2020-09-01,0.268
"101",2020-09-02,0.264
"102",2020-09-03,0.259
"103",2020-09-04,0.261
"104",2020-09-05,0.255
"105",2020-09-06,0.255
"106",2020-09-08,0.266
"107",2020-09-09,0.27
"108",2020-09-10,0.266
"109",2020-09-11,0.275
"110",2020-09-12,0.274
"111",2020-09-13,0.269
"112",2020-09-15,0.27
"113",2020-09-16,0.265
"114",2020-09-17,0.252
"115",2020-09-18,0.242
"116",2020-09-19,0.249
"117",2020-09-20,0.25
