"","GDAY_DS","ER","WLS"
"1",2020-05-05,0,1
"2",2020-05-06,2.5,0.5
"3",2020-05-07,3,0.667
"4",2020-05-08,3.5,0.5
"5",2020-05-09,3.6,0.4
"6",2020-05-10,3.833,0.333
"7",2020-05-12,3.571,0.286
"8",2020-05-13,3.5,0.25
"9",2020-05-14,3.222,0.333
"10",2020-05-15,3,0.4
"11",2020-05-16,3.182,0.364
"12",2020-05-17,3.25,0.417
"13",2020-05-19,4,0.385
"14",2020-05-20,4.286,0.357
"15",2020-05-21,4.267,0.4
"16",2020-05-22,4.188,0.438
"17",2020-05-23,4.118,0.412
"18",2020-05-24,4.333,0.389
"19",2020-05-26,4.5,0.333
"20",2020-05-27,5.056,0.333
"21",2020-05-28,5,0.278
"22",2020-05-29,5.111,0.278
"23",2020-05-30,5.333,0.278
"24",2020-05-31,5.389,0.278
"25",2020-06-02,6.056,0.278
"26",2020-06-03,6.111,0.278
"27",2020-06-04,6.278,0.222
"28",2020-06-05,6.833,0.167
"29",2020-06-06,7.333,0.167
"30",2020-06-07,7.5,0.111
"31",2020-06-09,7.278,0.111
"32",2020-06-10,7.444,0.111
"33",2020-06-11,7.5,0.056
"34",2020-06-12,7.611,0
"35",2020-06-13,7.778,0.056
"36",2020-06-14,7.333,0.111
"37",2020-06-16,7.667,0.111
"38",2020-06-17,7.111,0.111
"39",2020-06-18,7.333,0.111
"40",2020-06-19,7.111,0.111
"41",2020-06-20,6.778,0.167
"42",2020-06-21,6.833,0.167
"43",2020-06-23,6.389,0.167
"44",2020-06-24,6.278,0.167
"45",2020-06-25,6.167,0.222
"46",2020-06-26,5.778,0.278
"47",2020-06-27,5.278,0.278
"48",2020-06-28,5.333,0.278
"49",2020-07-01,5.056,0.278
"50",2020-07-02,4.778,0.278
"51",2020-07-03,4.611,0.278
"52",2020-07-04,4.389,0.333
"53",2020-07-05,4.444,0.278
"54",2020-07-07,4.778,0.278
"55",2020-07-08,4.611,0.278
"56",2020-07-09,4.611,0.278
"57",2020-07-10,4.5,0.333
"58",2020-07-11,4.556,0.333
"59",2020-07-13,4.5,0.333
"60",2020-07-14,4.444,0.333
"61",2020-07-15,4.278,0.389
"62",2020-07-16,4.389,0.389
"63",2020-07-17,4.722,0.333
"64",2020-07-18,4.611,0.278
"65",2020-07-19,4.611,0.278
"66",2020-07-21,4.667,0.278
"67",2020-07-22,4.556,0.278
"68",2020-07-24,4.611,0.278
"69",2020-07-26,4.889,0.278
"70",2020-07-27,5.111,0.235
"71",2020-07-29,5.111,0.294
"72",2020-07-30,4.833,0.235
"73",2020-07-31,4.556,0.294
"74",2020-08-01,4.667,0.294
"75",2020-08-05,4.667,0.294
"76",2020-08-06,4.667,0.294
"77",2020-08-09,4.944,0.235
"78",2020-08-11,4.833,0.294
"79",2020-08-12,4.833,0.235
"80",2020-08-14,5.167,0.235
"81",2020-08-15,4.833,0.235
"82",2020-08-16,4.833,0.294
"83",2020-08-18,4.778,0.294
"84",2020-08-19,5.5,0.294
"85",2020-08-20,5.556,0.294
"86",2020-08-21,5.222,0.353
"87",2020-08-23,5,0.412
"88",2020-08-24,4.833,0.444
"89",2020-08-25,5.056,0.389
"90",2020-08-26,5.333,0.389
"91",2020-08-27,5.278,0.389
"92",2020-08-29,5.389,0.389
"93",2020-08-30,5.222,0.333
"94",2020-09-01,5.167,0.333
"95",2020-09-03,5.167,0.333
"96",2020-09-04,5,0.333
"97",2020-09-05,5.111,0.333
"98",2020-09-06,4.944,0.333
"99",2020-09-08,4.944,0.389
"100",2020-09-09,5.056,0.353
"101",2020-09-10,5.111,0.353
"102",2020-09-11,4.056,0.353
"103",2020-09-12,4.167,0.353
"104",2020-09-13,4.389,0.294
"105",2020-09-15,4.444,0.294
"106",2020-09-16,4.889,0.235
"107",2020-09-17,4.556,0.235
"108",2020-09-18,4.222,0.294
"109",2020-09-19,4.556,0.235
"110",2020-09-20,4.222,0.294
