"","GDAY_DS","ER","WLS"
"1",2020-05-05,0,1
"2",2020-05-06,1.5,1
"3",2020-05-07,1.667,1
"4",2020-05-08,2.5,1
"5",2020-05-10,4,0.8
"6",2020-05-12,4.333,0.833
"7",2020-05-13,4.143,0.857
"8",2020-05-14,3.625,0.875
"9",2020-05-15,3.444,0.889
"10",2020-05-16,3.2,0.9
"11",2020-05-17,3.364,0.909
"12",2020-05-19,3.417,0.917
"13",2020-05-20,3.308,0.846
"14",2020-05-21,3.5,0.857
"15",2020-05-22,3.467,0.8
"16",2020-05-23,3.25,0.812
"17",2020-05-24,3.353,0.824
"18",2020-05-26,3.278,0.833
"19",2020-05-27,3.444,0.833
"20",2020-05-28,3.611,0.833
"21",2020-05-29,3.722,0.778
"22",2020-05-30,3.944,0.722
"23",2020-05-31,3.722,0.778
"24",2020-06-02,3.778,0.722
"25",2020-06-03,3.889,0.722
"26",2020-06-04,3.889,0.722
"27",2020-06-05,3.889,0.722
"28",2020-06-06,3.944,0.722
"29",2020-06-07,3.778,0.722
"30",2020-06-09,4,0.722
"31",2020-06-10,4.389,0.722
"32",2020-06-11,4.333,0.722
"33",2020-06-12,4.278,0.722
"34",2020-06-13,5.222,0.667
"35",2020-06-14,5.222,0.667
"36",2020-06-16,5.5,0.611
"37",2020-06-17,5.722,0.556
"38",2020-06-19,5.444,0.556
"39",2020-06-20,5.444,0.556
"40",2020-06-21,5.333,0.611
"41",2020-06-23,5.167,0.611
"42",2020-06-25,4.833,0.667
"43",2020-06-25,5.444,0.611
"44",2020-06-26,5.611,0.611
"45",2020-06-27,6.167,0.556
"46",2020-06-28,6.056,0.556
"47",2020-06-30,6.444,0.5
"48",2020-07-01,6.111,0.5
"49",2020-07-02,6,0.556
"50",2020-07-03,6.167,0.5
"51",2020-07-04,6.167,0.556
"52",2020-07-05,5.556,0.611
"53",2020-07-07,5.5,0.611
"54",2020-07-08,5.278,0.611
"55",2020-07-09,5,0.667
"56",2020-07-10,5.056,0.667
"57",2020-07-11,5.167,0.706
"58",2020-07-14,5.056,0.647
"59",2020-07-15,5.278,0.588
"60",2020-07-16,5.278,0.588
"61",2020-07-17,4.556,0.625
"62",2020-07-18,4.444,0.625
"63",2020-07-19,3.889,0.688
"64",2020-07-21,4.167,0.688
"65",2020-07-24,3.722,0.75
"66",2020-07-25,3.944,0.688
"67",2020-07-26,3.722,0.688
"68",2020-07-28,3.889,0.688
"69",2020-07-31,4.167,0.688
"70",2020-08-01,4.444,0.625
"71",2020-08-02,4.556,0.562
"72",2020-08-05,4.778,0.562
"73",2020-08-06,4.722,0.562
"74",2020-08-08,4.778,0.5
"75",2020-08-09,4.5,0.529
"76",2020-08-12,4.667,0.529
"77",2020-08-13,4.389,0.588
"78",2020-08-14,4.889,0.529
"79",2020-08-15,5.444,0.5
"80",2020-08-16,5.556,0.444
"81",2020-08-18,5.5,0.444
"82",2020-08-19,5.5,0.389
"83",2020-08-20,5.5,0.389
"84",2020-08-21,5.389,0.444
"85",2020-08-23,5.778,0.389
"86",2020-08-24,5.611,0.389
"87",2020-08-25,5.389,0.389
"88",2020-08-26,5.056,0.444
"89",2020-08-27,4.833,0.5
"90",2020-08-28,5.056,0.5
"91",2020-08-29,5.278,0.5
"92",2020-08-30,5.333,0.556
"93",2020-09-01,5.389,0.556
"94",2020-09-02,5.222,0.556
"95",2020-09-03,5.222,0.5
"96",2020-09-04,4.944,0.529
"97",2020-09-06,4.5,0.529
"98",2020-09-08,4.444,0.588
"99",2020-09-09,4.778,0.529
"100",2020-09-10,4.944,0.588
"101",2020-09-10,4.944,0.588
"102",2020-09-12,5.278,0.529
"103",2020-09-13,4.944,0.562
"104",2020-09-15,4.778,0.562
"105",2020-09-16,4.778,0.562
"106",2020-09-17,4.5,0.562
"107",2020-09-18,4.667,0.562
"108",2020-09-19,4.333,0.562
"109",2020-09-20,4.111,0.562
"110",2020-09-20,4,0.562
