"","GDAY_DS","ER","WLS"
"1",2020-05-05,8,0
"2",2020-05-06,4.5,0.5
"3",2020-05-07,4,0.667
"4",2020-05-08,6,0.5
"5",2020-05-10,7.2,0.6
"6",2020-05-12,7,0.667
"7",2020-05-13,7,0.571
"8",2020-05-14,6.625,0.625
"9",2020-05-15,5.889,0.667
"10",2020-05-16,6.6,0.6
"11",2020-05-17,6.182,0.636
"12",2020-05-19,6.083,0.583
"13",2020-05-20,5.692,0.615
"14",2020-05-21,6.143,0.571
"15",2020-05-22,6.2,0.6
"16",2020-05-23,6.125,0.625
"17",2020-05-24,6.529,0.588
"18",2020-05-26,6.389,0.611
"19",2020-05-27,6.056,0.667
"20",2020-05-28,6.333,0.611
"21",2020-05-29,6.278,0.611
"22",2020-05-30,5.833,0.667
"23",2020-05-31,5.278,0.611
"24",2020-06-02,5.333,0.611
"25",2020-06-03,5.167,0.611
"26",2020-06-04,5.389,0.611
"27",2020-06-05,5.389,0.611
"28",2020-06-06,4.833,0.667
"29",2020-06-07,4.833,0.667
"30",2020-06-09,5.222,0.667
"31",2020-06-10,5.222,0.667
"32",2020-06-11,4.944,0.667
"33",2020-06-12,4.611,0.667
"34",2020-06-13,4.722,0.611
"35",2020-06-14,4.167,0.611
"36",2020-06-16,4.111,0.556
"37",2020-06-17,4.333,0.5
"38",2020-06-18,4.056,0.556
"39",2020-06-19,4.444,0.556
"40",2020-06-20,4.333,0.556
"41",2020-06-21,4.278,0.611
"42",2020-06-23,4,0.611
"43",2020-06-25,4.111,0.667
"44",2020-06-25,4,0.611
"45",2020-06-26,4.444,0.556
"46",2020-06-27,4.444,0.556
"47",2020-06-28,4.611,0.5
"48",2020-06-30,4.5,0.5
"49",2020-07-01,4.611,0.5
"50",2020-07-02,4.778,0.5
"51",2020-07-03,4.778,0.5
"52",2020-07-04,4.722,0.5
"53",2020-07-05,4.778,0.556
"54",2020-07-07,4.944,0.611
"55",2020-07-08,5.056,0.611
"56",2020-07-09,5,0.611
"57",2020-07-10,4.778,0.611
"58",2020-07-11,4.889,0.556
"59",2020-07-14,5.444,0.5
"60",2020-07-15,5.444,0.5
"61",2020-07-16,5.167,0.5
"62",2020-07-17,5,0.5
"63",2020-07-18,4.556,0.556
"64",2020-07-19,4.611,0.556
"65",2020-07-21,4.389,0.611
"66",2020-07-24,4.222,0.611
"67",2020-07-25,4.222,0.611
"68",2020-07-26,3.778,0.611
"69",2020-07-28,4,0.556
"70",2020-07-30,4.111,0.556
"71",2020-07-31,4.444,0.5
"72",2020-08-01,4.611,0.5
"73",2020-08-02,4.389,0.556
"74",2020-08-04,4.722,0.5
"75",2020-08-05,4.5,0.471
"76",2020-08-06,4.389,0.529
"77",2020-08-07,4.056,0.529
"78",2020-08-08,4,0.5
"79",2020-08-11,4,0.5
"80",2020-08-12,4.278,0.562
"81",2020-08-13,4.444,0.5
"82",2020-08-14,4.444,0.438
"83",2020-08-15,4.611,0.438
"84",2020-08-16,4.333,0.438
"85",2020-08-18,4.278,0.438
"86",2020-08-19,4.5,0.438
"87",2020-08-20,4.556,0.438
"88",2020-08-21,4.111,0.5
"89",2020-08-22,3.611,0.562
"90",2020-08-23,3.167,0.562
"91",2020-08-25,3.278,0.562
"92",2020-08-26,3.333,0.562
"93",2020-08-27,3.722,0.529
"94",2020-08-28,3.833,0.529
"95",2020-08-29,3.833,0.562
"96",2020-08-30,4,0.529
"97",2020-09-01,3.944,0.529
"98",2020-09-03,4.056,0.471
"99",2020-09-04,4.5,0.471
"100",2020-09-05,4.333,0.529
"101",2020-09-06,4.111,0.529
"102",2020-09-08,4,0.588
"103",2020-09-09,4.056,0.529
"104",2020-09-10,3.944,0.588
"105",2020-09-12,3.722,0.588
"106",2020-09-13,4.056,0.562
"107",2020-09-15,4.167,0.562
"108",2020-09-16,4.333,0.5
"109",2020-09-17,4.167,0.438
"110",2020-09-18,4.056,0.438
"111",2020-09-19,4.111,0.438
"112",2020-09-20,4.222,0.438
