"","GDAY_DS","ER","WLS"
"1",2020-05-05,0,1
"2",2020-05-06,5,0.5
"3",2020-05-07,4,0.667
"4",2020-05-08,5,0.5
"5",2020-05-09,4,0.4
"6",2020-05-10,5,0.333
"7",2020-05-12,2,0.286
"8",2020-05-13,3,0.25
"9",2020-05-14,1,0.333
"10",2020-05-15,1,0.4
"11",2020-05-16,5,0.364
"12",2020-05-17,4,0.417
"13",2020-05-19,13,0.385
"14",2020-05-20,8,0.357
"15",2020-05-21,4,0.4
"16",2020-05-22,3,0.438
"17",2020-05-23,3,0.412
"18",2020-05-24,8,0.389
"19",2020-05-26,3,0.333
"20",2020-05-27,15,0.333
"21",2020-05-28,3,0.278
"22",2020-05-29,7,0.278
"23",2020-05-30,8,0.278
"24",2020-05-31,6,0.278
"25",2020-06-02,14,0.278
"26",2020-06-03,4,0.278
"27",2020-06-04,4,0.222
"28",2020-06-05,11,0.167
"29",2020-06-06,14,0.167
"30",2020-06-07,7,0.111
"31",2020-06-09,9,0.111
"32",2020-06-10,11,0.111
"33",2020-06-11,5,0.056
"34",2020-06-12,5,0
"35",2020-06-13,6,0.056
"36",2020-06-14,0,0.111
"37",2020-06-16,9,0.111
"38",2020-06-17,5,0.111
"39",2020-06-18,7,0.111
"40",2020-06-19,3,0.111
"41",2020-06-20,2,0.167
"42",2020-06-21,7,0.167
"43",2020-06-23,6,0.167
"44",2020-06-24,2,0.167
"45",2020-06-25,2,0.222
"46",2020-06-26,4,0.278
"47",2020-06-27,5,0.278
"48",2020-06-28,8,0.278
"49",2020-07-01,4,0.278
"50",2020-07-02,6,0.278
"51",2020-07-03,2,0.278
"52",2020-07-04,1,0.333
"53",2020-07-05,7,0.278
"54",2020-07-07,6,0.278
"55",2020-07-08,6,0.278
"56",2020-07-09,5,0.278
"57",2020-07-10,5,0.333
"58",2020-07-11,4,0.333
"59",2020-07-13,1,0.333
"60",2020-07-14,6,0.333
"61",2020-07-15,3,0.389
"62",2020-07-16,4,0.389
"63",2020-07-17,8,0.333
"64",2020-07-18,2,0.278
"65",2020-07-19,5,0.278
"66",2020-07-21,9,0.278
"67",2020-07-22,2,0.278
"68",2020-07-24,7,0.278
"69",2020-07-26,7,0.278
"70",2020-07-27,5,0.235
"71",2020-07-29,7,0.294
"72",2020-07-30,1,0.235
"73",2020-07-31,1,0.294
"74",2020-08-01,7,0.294
"75",2020-08-05,5,0.294
"76",2020-08-06,4,0.294
"77",2020-08-09,6,0.235
"78",2020-08-11,4,0.294
"79",2020-08-12,3,0.235
"80",2020-08-14,10,0.235
"81",2020-08-15,2,0.235
"82",2020-08-16,2,0.294
"83",2020-08-18,4,0.294
"84",2020-08-19,22,0.294
"85",2020-08-20,3,0.294
"86",2020-08-21,1,0.353
"87",2020-08-23,3,0.412
"88",2020-08-24,2,0.444
"89",2020-08-25,11,0.389
"90",2020-08-26,6,0.389
"91",2020-08-27,0,0.389
"92",2020-08-29,9,0.389
"93",2020-08-30,2,0.333
"94",2020-09-01,3,0.333
"95",2020-09-03,6,0.333
"96",2020-09-04,1,0.333
"97",2020-09-05,5,0.333
"98",2020-09-06,7,0.333
"99",2020-09-08,2,0.389
"100",2020-09-09,4,0.353
"101",2020-09-10,5,0.353
"102",2020-09-11,3,0.353
"103",2020-09-12,5,0.353
"104",2020-09-13,5,0.294
"105",2020-09-15,4,0.294
"106",2020-09-16,10,0.235
"107",2020-09-17,5,0.235
"108",2020-09-18,0,0.294
"109",2020-09-19,6,0.235
"110",2020-09-20,3,0.294
