"","GDAY_DS","ER","WLS"
"1",2020-05-05,7,0
"2",2020-05-06,9,0
"3",2020-05-07,6,0
"4",2020-05-08,3,0.25
"5",2020-05-10,12,0.2
"6",2020-05-12,7,0.167
"7",2020-05-13,4,0.143
"8",2020-05-14,1,0.125
"9",2020-05-15,3,0.222
"10",2020-05-16,3,0.3
"11",2020-05-17,1,0.364
"12",2020-05-19,11,0.417
"13",2020-05-20,1,0.462
"14",2020-05-21,9,0.429
"15",2020-05-22,5,0.4
"16",2020-05-23,2,0.438
"17",2020-05-24,9,0.412
"18",2020-05-26,4,0.389
"19",2020-05-27,0,0.444
"20",2020-05-28,5,0.5
"21",2020-05-29,4,0.5
"22",2020-05-30,14,0.444
"23",2020-05-31,7,0.5
"24",2020-06-02,11,0.5
"25",2020-06-03,2,0.556
"26",2020-06-04,14,0.556
"27",2020-06-05,6,0.5
"28",2020-06-06,1,0.444
"29",2020-06-07,5,0.389
"30",2020-06-09,3,0.333
"31",2020-06-10,8,0.278
"32",2020-06-11,8,0.333
"33",2020-06-13,5,0.333
"34",2020-06-13,4,0.333
"35",2020-06-14,12,0.333
"36",2020-06-16,5,0.389
"37",2020-06-17,4,0.389
"38",2020-06-18,3,0.389
"39",2020-06-19,8,0.444
"40",2020-06-20,8,0.444
"41",2020-06-21,2,0.444
"42",2020-06-23,4,0.444
"43",2020-06-25,3,0.389
"44",2020-06-25,2,0.444
"45",2020-06-26,6,0.444
"46",2020-06-27,2,0.5
"47",2020-06-28,4,0.556
"48",2020-06-30,4,0.556
"49",2020-07-01,5,0.611
"50",2020-07-02,3,0.611
"51",2020-07-03,2,0.667
"52",2020-07-04,10,0.611
"53",2020-07-05,5,0.667
"54",2020-07-07,2,0.667
"55",2020-07-08,4,0.667
"56",2020-07-09,10,0.611
"57",2020-07-10,3,0.611
"58",2020-07-11,6,0.667
"59",2020-07-14,2,0.667
"60",2020-07-15,7,0.667
"61",2020-07-16,1,0.722
"62",2020-07-17,3,0.706
"63",2020-07-18,6,0.706
"64",2020-07-19,8,0.647
"65",2020-07-21,9,0.647
"66",2020-07-24,3,0.647
"67",2020-07-25,2,0.647
"68",2020-07-26,4,0.588
"69",2020-07-30,1,0.588
"70",2020-07-31,1,0.647
"71",2020-08-01,0,0.647
"72",2020-08-04,2,0.647
"73",2020-08-05,7,0.588
"74",2020-08-06,3,0.588
"75",2020-08-09,2,0.588
"76",2020-08-11,0,0.588
"77",2020-08-12,11,0.529
"78",2020-08-13,6,0.529
"79",2020-08-13,9,0.471
"80",2020-08-14,3,0.5
"81",2020-08-15,4,0.5
"82",2020-08-16,1,0.556
"83",2020-08-18,2,0.556
"84",2020-08-19,4,0.611
"85",2020-08-20,0,0.611
"86",2020-08-21,5,0.611
"87",2020-08-23,1,0.611
"88",2020-08-24,1,0.611
"89",2020-08-25,3,0.556
"90",2020-08-26,5,0.556
"91",2020-08-27,1,0.556
"92",2020-08-28,6,0.556
"93",2020-08-30,5,0.556
"94",2020-08-30,4,0.5
"95",2020-08-31,2,0.556
"96",2020-09-03,2,0.611
"97",2020-09-04,2,0.667
"98",2020-09-04,5,0.667
"99",2020-09-05,1,0.722
"100",2020-09-06,7,0.722
"101",2020-09-08,8,0.667
"102",2020-09-09,2,0.611
"103",2020-09-10,12,0.556
"104",2020-09-11,9,0.556
"105",2020-09-12,2,0.556
"106",2020-09-13,3,0.556
"107",2020-09-15,6,0.556
"108",2020-09-16,6,0.556
"109",2020-09-17,0,0.611
"110",2020-09-18,3,0.667
"111",2020-09-19,0,0.667
"112",2020-09-20,1,0.722
