"","GDAY_DS","ER","WLS"
"1",2020-05-05,2,1
"2",2020-05-06,5,0.5
"3",2020-05-07,6,0.333
"4",2020-05-08,13,0.25
"5",2020-05-10,7,0.4
"6",2020-05-12,5,0.5
"7",2020-05-13,2,0.571
"8",2020-05-14,2,0.625
"9",2020-05-16,1,0.667
"10",2020-05-16,3,0.7
"11",2020-05-17,9,0.636
"12",2020-05-19,6,0.667
"13",2020-05-20,2,0.615
"14",2020-05-21,0,0.643
"15",2020-05-22,5,0.667
"16",2020-05-23,6,0.625
"17",2020-05-24,4,0.647
"18",2020-05-26,0,0.667
"19",2020-05-27,4,0.667
"20",2020-05-28,0,0.722
"21",2020-05-29,2,0.778
"22",2020-05-30,5,0.778
"23",2020-05-31,5,0.778
"24",2020-06-02,2,0.722
"25",2020-06-03,11,0.667
"26",2020-06-04,0,0.667
"27",2020-06-05,6,0.611
"28",2020-06-06,5,0.556
"29",2020-06-07,1,0.611
"30",2020-06-09,5,0.556
"31",2020-06-11,1,0.611
"32",2020-06-11,3,0.611
"33",2020-06-12,2,0.611
"34",2020-06-13,6,0.611
"35",2020-06-14,6,0.611
"36",2020-06-16,5,0.611
"37",2020-06-17,1,0.611
"38",2020-06-18,6,0.611
"39",2020-06-19,18,0.556
"40",2020-06-20,8,0.556
"41",2020-06-21,3,0.5
"42",2020-06-23,7,0.5
"43",2020-06-25,5,0.5
"44",2020-06-25,8,0.444
"45",2020-06-26,6,0.444
"46",2020-06-27,0,0.5
"47",2020-06-28,0,0.5
"48",2020-06-30,3,0.556
"49",2020-07-01,10,0.5
"50",2020-07-02,4,0.444
"51",2020-07-03,4,0.389
"52",2020-07-04,7,0.389
"53",2020-07-05,3,0.389
"54",2020-07-07,8,0.333
"55",2020-07-08,5,0.333
"56",2020-07-09,6,0.278
"57",2020-07-10,12,0.278
"58",2020-07-11,5,0.294
"59",2020-07-14,4,0.294
"60",2020-07-15,3,0.353
"61",2020-07-16,8,0.353
"62",2020-07-17,0,0.412
"63",2020-07-18,1,0.471
"64",2020-07-19,2,0.471
"65",2020-07-21,10,0.412
"66",2020-07-24,1,0.412
"67",2020-07-25,7,0.412
"68",2020-07-26,3,0.471
"69",2020-07-28,7,0.529
"70",2020-07-29,6,0.588
"71",2020-07-30,1,0.588
"72",2020-07-31,2,0.588
"73",2020-08-01,6,0.588
"74",2020-08-04,3,0.647
"75",2020-08-05,4,0.706
"76",2020-08-06,13,0.667
"77",2020-08-07,2,0.722
"78",2020-08-08,5,0.667
"79",2020-08-09,1,0.667
"80",2020-08-11,8,0.611
"81",2020-08-12,0,0.611
"82",2020-08-13,1,0.611
"83",2020-08-14,4,0.667
"84",2020-08-15,4,0.667
"85",2020-08-16,5,0.722
"86",2020-08-18,5,0.722
"87",2020-08-19,1,0.722
"88",2020-08-20,6,0.667
"89",2020-08-21,3,0.667
"90",2020-08-23,2,0.667
"91",2020-08-24,4,0.611
"92",2020-08-25,4,0.556
"93",2020-08-26,5,0.556
"94",2020-08-27,0,0.611
"95",2020-08-28,5,0.611
"96",2020-08-29,5,0.647
"97",2020-08-30,1,0.706
"98",2020-09-01,5,0.765
"99",2020-09-03,5,0.765
"100",2020-09-04,5,0.75
"101",2020-09-06,1,0.75
"102",2020-09-07,12,0.688
"103",2020-09-08,1,0.625
"104",2020-09-10,1,0.625
"105",2020-09-11,8,0.562
"106",2020-09-12,5,0.625
"107",2020-09-13,9,0.562
"108",2020-09-15,6,0.562
"109",2020-09-16,5,0.625
"110",2020-09-17,1,0.688
"111",2020-09-18,3,0.625
"112",2020-09-19,6,0.625
"113",2020-09-20,6,0.562
