"","GDAY_DS","ER","WLS"
"1",2020-05-05,0,1
"2",2020-05-06,3,1
"3",2020-05-07,2,1
"4",2020-05-08,5,1
"5",2020-05-10,10,0.8
"6",2020-05-12,6,0.833
"7",2020-05-13,3,0.857
"8",2020-05-14,0,0.875
"9",2020-05-15,2,0.889
"10",2020-05-16,1,0.9
"11",2020-05-17,5,0.909
"12",2020-05-19,4,0.917
"13",2020-05-20,2,0.846
"14",2020-05-21,6,0.857
"15",2020-05-22,3,0.8
"16",2020-05-23,0,0.812
"17",2020-05-24,5,0.824
"18",2020-05-26,2,0.833
"19",2020-05-27,3,0.833
"20",2020-05-28,6,0.833
"21",2020-05-29,4,0.778
"22",2020-05-30,9,0.722
"23",2020-05-31,6,0.778
"24",2020-06-02,7,0.722
"25",2020-06-03,5,0.722
"26",2020-06-04,0,0.722
"27",2020-06-05,2,0.722
"28",2020-06-06,2,0.722
"29",2020-06-07,2,0.722
"30",2020-06-09,8,0.722
"31",2020-06-10,9,0.722
"32",2020-06-11,5,0.722
"33",2020-06-12,2,0.722
"34",2020-06-13,17,0.667
"35",2020-06-14,5,0.667
"36",2020-06-16,7,0.611
"37",2020-06-17,7,0.556
"38",2020-06-19,1,0.556
"39",2020-06-20,4,0.556
"40",2020-06-21,7,0.611
"41",2020-06-23,3,0.611
"42",2020-06-25,1,0.667
"43",2020-06-25,16,0.611
"44",2020-06-26,3,0.611
"45",2020-06-27,12,0.556
"46",2020-06-28,0,0.556
"47",2020-06-30,9,0.5
"48",2020-07-01,2,0.5
"49",2020-07-02,7,0.556
"50",2020-07-03,8,0.5
"51",2020-07-04,2,0.556
"52",2020-07-05,6,0.611
"53",2020-07-07,4,0.611
"54",2020-07-08,3,0.611
"55",2020-07-09,2,0.667
"56",2020-07-10,2,0.667
"57",2020-07-11,6,0.706
"58",2020-07-14,5,0.647
"59",2020-07-15,7,0.588
"60",2020-07-16,1,0.588
"61",2020-07-17,3,0.625
"62",2020-07-18,1,0.625
"63",2020-07-19,2,0.688
"64",2020-07-21,5,0.688
"65",2020-07-24,1,0.75
"66",2020-07-25,6,0.688
"67",2020-07-26,3,0.688
"68",2020-07-28,11,0.688
"69",2020-07-31,7,0.688
"70",2020-08-01,11,0.625
"71",2020-08-02,6,0.562
"72",2020-08-05,7,0.562
"73",2020-08-06,1,0.562
"74",2020-08-08,3,0.5
"75",2020-08-09,1,0.529
"76",2020-08-12,8,0.529
"77",2020-08-13,2,0.588
"78",2020-08-14,10,0.529
"79",2020-08-15,13,0.5
"80",2020-08-16,3,0.444
"81",2020-08-18,1,0.444
"82",2020-08-19,5,0.389
"83",2020-08-20,1,0.389
"84",2020-08-21,4,0.444
"85",2020-08-23,10,0.389
"86",2020-08-24,8,0.389
"87",2020-08-25,3,0.389
"88",2020-08-26,5,0.444
"89",2020-08-27,2,0.5
"90",2020-08-28,11,0.5
"91",2020-08-29,5,0.5
"92",2020-08-30,4,0.556
"93",2020-09-01,2,0.556
"94",2020-09-02,5,0.556
"95",2020-09-03,2,0.5
"96",2020-09-04,5,0.529
"97",2020-09-06,5,0.529
"98",2020-09-08,2,0.588
"99",2020-09-09,7,0.529
"100",2020-09-10,8,0.588
"101",2020-09-10,1,0.588
"102",2020-09-12,10,0.529
"103",2020-09-13,4,0.562
"104",2020-09-15,5,0.562
"105",2020-09-16,3,0.562
"106",2020-09-17,0,0.562
"107",2020-09-18,5,0.562
"108",2020-09-19,5,0.562
"109",2020-09-20,1,0.562
"110",2020-09-20,2,0.562
