"","GDAY_DS","ER","WLS"
"1",2020-05-05,3,0
"2",2020-05-06,2,0.5
"3",2020-05-07,8,0.333
"4",2020-05-08,9,0.25
"5",2020-05-10,4,0.2
"6",2020-05-12,6,0.167
"7",2020-05-13,7,0.143
"8",2020-05-14,3,0.125
"9",2020-05-15,6,0.111
"10",2020-05-16,2,0.1
"11",2020-05-17,11,0.091
"12",2020-05-19,10,0.083
"13",2020-05-20,3,0.154
"14",2020-05-21,7,0.143
"15",2020-05-22,2,0.133
"16",2020-05-23,8,0.125
"17",2020-05-24,1,0.176
"18",2020-05-26,1,0.167
"19",2020-05-27,4,0.167
"20",2020-05-28,1,0.167
"21",2020-05-29,6,0.222
"22",2020-05-30,3,0.278
"23",2020-05-31,3,0.333
"24",2020-06-02,1,0.389
"25",2020-06-03,8,0.389
"26",2020-06-04,10,0.389
"27",2020-06-05,1,0.444
"28",2020-06-06,4,0.5
"29",2020-06-07,3,0.5
"30",2020-06-09,2,0.556
"31",2020-06-11,3,0.5
"32",2020-06-11,4,0.5
"33",2020-06-12,6,0.5
"34",2020-06-13,2,0.5
"35",2020-06-14,3,0.5
"36",2020-06-16,5,0.5
"37",2020-06-17,5,0.5
"38",2020-06-18,5,0.444
"39",2020-06-19,2,0.389
"40",2020-06-20,9,0.333
"41",2020-06-21,7,0.278
"42",2020-06-23,8,0.222
"43",2020-06-25,14,0.222
"44",2020-06-25,0,0.278
"45",2020-06-26,0,0.278
"46",2020-06-27,2,0.222
"47",2020-06-28,3,0.222
"48",2020-06-30,4,0.167
"49",2020-07-01,5,0.167
"50",2020-07-02,6,0.167
"51",2020-07-03,4,0.222
"52",2020-07-04,9,0.222
"53",2020-07-05,3,0.222
"54",2020-07-07,5,0.222
"55",2020-07-08,2,0.278
"56",2020-07-09,8,0.278
"57",2020-07-10,3,0.278
"58",2020-07-11,3,0.333
"59",2020-07-13,4,0.333
"60",2020-07-14,7,0.389
"61",2020-07-15,7,0.389
"62",2020-07-16,4,0.333
"63",2020-07-17,9,0.333
"64",2020-07-18,4,0.333
"65",2020-07-19,3,0.389
"66",2020-07-21,7,0.444
"67",2020-07-24,4,0.5
"68",2020-07-26,4,0.556
"69",2020-07-27,5,0.529
"70",2020-07-28,24,0.529
"71",2020-07-29,11,0.471
"72",2020-07-30,9,0.471
"73",2020-07-31,11,0.412
"74",2020-08-01,11,0.412
"75",2020-08-04,8,0.412
"76",2020-08-06,6,0.353
"77",2020-08-07,2,0.353
"78",2020-08-08,2,0.353
"79",2020-08-11,6,0.353
"80",2020-08-12,1,0.412
"81",2020-08-13,6,0.412
"82",2020-08-14,7,0.412
"83",2020-08-15,10,0.353
"84",2020-08-16,8,0.294
"85",2020-08-18,3,0.294
"86",2020-08-19,4,0.294
"87",2020-08-20,5,0.278
"88",2020-08-21,5,0.333
"89",2020-08-22,6,0.333
"90",2020-08-22,1,0.389
"91",2020-08-25,7,0.444
"92",2020-08-26,3,0.444
"93",2020-08-27,4,0.5
"94",2020-08-28,11,0.5
"95",2020-08-29,9,0.5
"96",2020-08-30,7,0.444
"97",2020-09-01,11,0.444
"98",2020-09-03,6,0.389
"99",2020-09-04,10,0.333
"100",2020-09-04,7,0.333
"101",2020-09-05,5,0.333
"102",2020-09-06,9,0.333
"103",2020-09-08,16,0.278
"104",2020-09-09,11,0.222
"105",2020-09-10,1,0.278
"106",2020-09-11,3,0.278
"107",2020-09-12,1,0.333
"108",2020-09-13,1,0.333
"109",2020-09-15,1,0.333
"110",2020-09-16,6,0.389
"111",2020-09-17,3,0.333
"112",2020-09-18,9,0.333
"113",2020-09-19,1,0.333
"114",2020-09-20,6,0.333
