"","GDAY_DS","ER","WLS"
"1",2020-05-05,4,0
"2",2020-05-06,4,0
"3",2020-05-07,7,0
"4",2020-05-08,0,0.25
"5",2020-05-09,2,0.4
"6",2020-05-10,8,0.333
"7",2020-05-12,2,0.286
"8",2020-05-13,0,0.375
"9",2020-05-14,5,0.444
"10",2020-05-15,10,0.4
"11",2020-05-16,9,0.364
"12",2020-05-17,7,0.333
"13",2020-05-19,10,0.308
"14",2020-05-20,1,0.357
"15",2020-05-21,2,0.333
"16",2020-05-22,11,0.312
"17",2020-05-23,10,0.294
"18",2020-05-24,0,0.333
"19",2020-05-26,1,0.333
"20",2020-05-27,0,0.389
"21",2020-05-28,1,0.444
"22",2020-05-29,4,0.444
"23",2020-05-30,1,0.444
"24",2020-05-31,11,0.444
"25",2020-06-02,0,0.5
"26",2020-06-03,6,0.5
"27",2020-06-04,8,0.444
"28",2020-06-05,4,0.444
"29",2020-06-06,6,0.444
"30",2020-06-07,0,0.5
"31",2020-06-09,5,0.5
"32",2020-06-10,1,0.5
"33",2020-06-11,3,0.556
"34",2020-06-13,3,0.611
"35",2020-06-13,7,0.611
"36",2020-06-14,0,0.611
"37",2020-06-16,2,0.667
"38",2020-06-17,3,0.667
"39",2020-06-18,7,0.611
"40",2020-06-19,3,0.556
"41",2020-06-20,6,0.5
"42",2020-06-21,4,0.556
"43",2020-06-23,4,0.556
"44",2020-06-24,2,0.556
"45",2020-06-25,9,0.556
"46",2020-06-26,4,0.611
"47",2020-06-27,1,0.667
"48",2020-06-28,7,0.611
"49",2020-06-30,1,0.667
"50",2020-07-01,1,0.667
"51",2020-07-02,2,0.667
"52",2020-07-03,7,0.667
"53",2020-07-04,6,0.722
"54",2020-07-05,7,0.667
"55",2020-07-07,2,0.667
"56",2020-07-08,7,0.611
"57",2020-07-09,4,0.611
"58",2020-07-10,7,0.611
"59",2020-07-11,10,0.611
"60",2020-07-14,0,0.611
"61",2020-07-15,4,0.556
"62",2020-07-16,7,0.556
"63",2020-07-17,7,0.611
"64",2020-07-18,2,0.611
"65",2020-07-19,2,0.556
"66",2020-07-21,6,0.556
"67",2020-07-25,8,0.5
"68",2020-07-26,6,0.444
"69",2020-07-29,5,0.389
"70",2020-07-30,0,0.389
"71",2020-07-31,10,0.333
"72",2020-08-01,21,0.333
"73",2020-08-02,4,0.278
"74",2020-08-04,2,0.333
"75",2020-08-05,0,0.353
"76",2020-08-06,5,0.353
"77",2020-08-07,0,0.412
"78",2020-08-08,2,0.353
"79",2020-08-11,6,0.353
"80",2020-08-12,15,0.294
"81",2020-08-13,2,0.294
"82",2020-08-14,1,0.294
"83",2020-08-15,0,0.353
"84",2020-08-16,3,0.353
"85",2020-08-18,5,0.353
"86",2020-08-19,6,0.353
"87",2020-08-20,3,0.412
"88",2020-08-21,8,0.353
"89",2020-08-22,5,0.353
"90",2020-08-23,8,0.353
"91",2020-08-25,3,0.412
"92",2020-08-26,8,0.353
"93",2020-08-27,7,0.333
"94",2020-08-29,4,0.389
"95",2020-08-30,3,0.333
"96",2020-09-01,6,0.333
"97",2020-09-03,6,0.389
"98",2020-09-04,5,0.444
"99",2020-09-06,3,0.389
"100",2020-09-08,4,0.333
"101",2020-09-09,4,0.278
"102",2020-09-10,13,0.278
"103",2020-09-11,12,0.278
"104",2020-09-12,1,0.333
"105",2020-09-13,0,0.333
"106",2020-09-15,0,0.389
"107",2020-09-16,11,0.389
"108",2020-09-17,12,0.389
"109",2020-09-18,13,0.333
"110",2020-09-19,8,0.333
"111",2020-09-20,6,0.389
