"","GDAY_DS","BA"
"1",2020-05-05,0.258064516129032
"2",2020-05-06,0.161290322580645
"3",2020-05-07,0.351351351351351
"4",2020-05-08,0.193548387096774
"5",2020-05-09,0.303030303030303
"6",2020-05-10,0.342857142857143
"7",2020-05-12,0.242424242424242
"8",2020-05-13,0.257142857142857
"9",2020-05-14,0.25
"10",2020-05-15,0.266666666666667
"11",2020-05-16,0.277777777777778
"12",2020-05-17,0.171428571428571
"13",2020-05-19,0.289473684210526
"14",2020-05-20,0.21875
"15",2020-05-21,0.324324324324324
"16",2020-05-22,0.235294117647059
"17",2020-05-23,0.2
"18",2020-05-24,0.212121212121212
"19",2020-05-26,0.107142857142857
"20",2020-05-27,0.294117647058824
"21",2020-05-28,0.161290322580645
"22",2020-05-29,0.351351351351351
"23",2020-05-30,0.0714285714285714
"24",2020-05-31,0.15625
"25",2020-06-02,0.235294117647059
"26",2020-06-03,0.212121212121212
"27",2020-06-04,0.228571428571429
"28",2020-06-05,0.111111111111111
"29",2020-06-06,0.297297297297297
"30",2020-06-07,0.161290322580645
"31",2020-06-09,0.285714285714286
"32",2020-06-10,0.181818181818182
"33",2020-06-11,0.178571428571429
"34",2020-06-12,0.15625
"35",2020-06-13,0.285714285714286
"36",2020-06-14,0.25
"37",2020-06-16,0.289473684210526
"38",2020-06-17,0.15625
"39",2020-06-18,0.257142857142857
"40",2020-06-19,0.129032258064516
"41",2020-06-20,0.272727272727273
"42",2020-06-21,0.205882352941176
"43",2020-06-23,0.324324324324324
"44",2020-06-24,0.225806451612903
"45",2020-06-25,0.333333333333333
"46",2020-06-26,0.388888888888889
"47",2020-06-27,0.212121212121212
"48",2020-06-28,0.242424242424242
"49",2020-07-01,0.375
"50",2020-07-02,0.28125
"51",2020-07-03,0.15625
"52",2020-07-04,0.277777777777778
"53",2020-07-05,0.285714285714286
"54",2020-07-07,0.232558139534884
"55",2020-07-08,0.1875
"56",2020-07-09,0.228571428571429
"57",2020-07-10,0.172413793103448
"58",2020-07-11,0.2
"59",2020-07-13,0.290322580645161
"60",2020-07-14,0.258064516129032
"61",2020-07-15,0.289473684210526
"62",2020-07-16,0.1875
"63",2020-07-17,0.103448275862069
"64",2020-07-18,0.25
"65",2020-07-19,0.235294117647059
"66",2020-07-21,0.103
"67",2020-07-22,0.138
"68",2020-07-24,0.235
"69",2020-07-26,0.235
"70",2020-07-27,0.172
"71",2020-07-29,0.409
"72",2020-07-30,0.081
"73",2020-07-31,0.294
"74",2020-08-01,0.235
"75",2020-08-05,0.364
"76",2020-08-06,0.172
"77",2020-08-09,0.235
"78",2020-08-11,0.227
"79",2020-08-12,0.118
"80",2020-08-13,0.281
"81",2020-08-14,0.133
"82",2020-08-15,0.233
"83",2020-08-16,0.077
"84",2020-08-18,0.188
"85",2020-08-19,0.3
"86",2020-08-20,0.069
"87",2020-08-21,0.314
"88",2020-08-23,0.194
"89",2020-08-23,0.368
"90",2020-08-25,0.297
"91",2020-08-26,0.206
"92",2020-08-27,0.333
"93",2020-08-29,0.289
"94",2020-08-30,0.182
"95",2020-09-01,0.103
"96",2020-09-03,0.289
"97",2020-09-04,0.333
"98",2020-09-05,0.242
"99",2020-09-06,0.278
"100",2020-09-08,0.278
"101",2020-09-09,0.263
"102",2020-09-09,0.324
"103",2020-09-10,0.167
"104",2020-09-11,0.176
"105",2020-09-12,0.2
"106",2020-09-13,0.2
"107",2020-09-15,0.289
"108",2020-09-16,0.257
"109",2020-09-17,0.103
"110",2020-09-18,0.222
"111",2020-09-19,0.161
"112",2020-09-20,0.4
