"","GDAY_DS","BA"
"1",2020-05-05,0.1875
"2",2020-05-06,0.257142857142857
"3",2020-05-07,0.421052631578947
"4",2020-05-08,0.166666666666667
"5",2020-05-09,0.241379310344828
"6",2020-05-10,0.357142857142857
"7",2020-05-12,0.133333333333333
"8",2020-05-13,0.242424242424242
"9",2020-05-14,0.15625
"10",2020-05-15,0.222222222222222
"11",2020-05-16,0.421052631578947
"12",2020-05-17,0.228571428571429
"13",2020-05-19,0.432432432432432
"14",2020-05-20,0.272727272727273
"15",2020-05-21,0.28125
"16",2020-05-22,0.242424242424242
"17",2020-05-23,0.264705882352941
"18",2020-05-24,0.3
"19",2020-05-26,0.342857142857143
"20",2020-05-27,0.161290322580645
"21",2020-05-28,0.272727272727273
"22",2020-05-29,0.205882352941176
"23",2020-05-30,0.378378378378378
"24",2020-05-31,0.289473684210526
"25",2020-06-02,0.342857142857143
"26",2020-06-03,0.378378378378378
"27",2020-06-04,0.272727272727273
"28",2020-06-05,0.15625
"29",2020-06-06,0.225806451612903
"30",2020-06-07,0.28125
"31",2020-06-09,0.166666666666667
"32",2020-06-10,0.333333333333333
"33",2020-06-11,0.365853658536585
"34",2020-06-12,0.264705882352941
"35",2020-06-13,0.193548387096774
"36",2020-06-14,0.205882352941176
"37",2020-06-16,0.266666666666667
"38",2020-06-17,0.32258064516129
"39",2020-06-19,0.333333333333333
"40",2020-06-20,0.290322580645161
"41",2020-06-21,0.285714285714286
"42",2020-06-23,0.314285714285714
"43",2020-06-26,0.333333333333333
"44",2020-06-27,0.0689655172413793
"45",2020-06-28,0.0769230769230769
"46",2020-07-01,0.314285714285714
"47",2020-07-02,0.351351351351351
"48",2020-07-03,0.264705882352941
"49",2020-07-04,0.25
"50",2020-07-05,0.242424242424242
"51",2020-07-07,0.15625
"52",2020-07-08,0.257142857142857
"53",2020-07-09,0.3125
"54",2020-07-10,0.333333333333333
"55",2020-07-11,0.314285714285714
"56",2020-07-13,0.41025641025641
"57",2020-07-14,0.25
"58",2020-07-15,0.285714285714286
"59",2020-07-16,0.25
"60",2020-07-17,0.3
"61",2020-07-18,0.272727272727273
"62",2020-07-19,0.25
"63",2020-07-21,0.103
"64",2020-07-22,0.167
"65",2020-07-25,0.355
"66",2020-07-26,0.324
"67",2020-07-30,0.242
"68",2020-07-31,0.235
"69",2020-08-01,0.265
"70",2020-08-02,0.133
"71",2020-08-04,0.222
"72",2020-08-05,0.257
"73",2020-08-06,0.343
"74",2020-08-08,0.143
"75",2020-08-09,0.125
"76",2020-08-11,0.314
"77",2020-08-12,0.069
"78",2020-08-13,0.156
"79",2020-08-14,0.226
"80",2020-08-15,0.415
"81",2020-08-16,0.395
"82",2020-08-18,0.275
"83",2020-08-19,0.235
"84",2020-08-20,0.152
"85",2020-08-21,0.265
"86",2020-08-22,0.206
"87",2020-08-23,0.306
"88",2020-08-25,0.265
"89",2020-08-26,0.366
"90",2020-08-27,0.242
"91",2020-08-28,0.333
"92",2020-08-30,0.303
"93",2020-08-30,0.294
"94",2020-09-01,0.29
"95",2020-09-03,0.278
"96",2020-09-04,0.235
"97",2020-09-04,0.27
"98",2020-09-05,0.361
"99",2020-09-06,0.286
"100",2020-09-08,0.226
"101",2020-09-10,0.219
"102",2020-09-12,0.35
"103",2020-09-13,0.303
"104",2020-09-15,0.172
"105",2020-09-16,0.303
"106",2020-09-17,0.4
"107",2020-09-18,0.385
"108",2020-09-19,0.345
"109",2020-09-20,0.273
