"","GDAY_DS","BA"
"1",2020-05-05,0.166666666666667
"2",2020-05-06,0.228571428571429
"3",2020-05-07,0.212121212121212
"4",2020-05-08,0.468085106382979
"5",2020-05-10,0.333333333333333
"6",2020-05-12,0.325581395348837
"7",2020-05-13,0.228571428571429
"8",2020-05-14,0.193548387096774
"9",2020-05-15,0.390243902439024
"10",2020-05-16,0.457142857142857
"11",2020-05-17,0.290322580645161
"12",2020-05-19,0.45
"13",2020-05-20,0.447368421052632
"14",2020-05-21,0.294117647058824
"15",2020-05-22,0.257142857142857
"16",2020-05-23,0.277777777777778
"17",2020-05-24,0.27027027027027
"18",2020-05-26,0.129032258064516
"19",2020-05-27,0.3
"20",2020-05-28,0.333333333333333
"21",2020-05-29,0.228571428571429
"22",2020-05-30,0.225806451612903
"23",2020-05-31,0.35
"24",2020-06-02,0.3
"25",2020-06-03,0.358974358974359
"26",2020-06-04,0.297297297297297
"27",2020-06-05,0.272727272727273
"28",2020-06-06,0.1875
"29",2020-06-07,0.228571428571429
"30",2020-06-09,0.205882352941176
"31",2020-06-10,0.166666666666667
"32",2020-06-11,0.41025641025641
"33",2020-06-13,0.1875
"34",2020-06-13,0.242424242424242
"35",2020-06-14,0.289473684210526
"36",2020-06-16,0.243243243243243
"37",2020-06-17,0.307692307692308
"38",2020-06-18,0.351351351351351
"39",2020-06-19,0.365853658536585
"40",2020-06-20,0.161290322580645
"41",2020-06-21,0.206896551724138
"42",2020-06-23,0.242424242424242
"43",2020-06-25,0.2
"44",2020-06-25,0.395348837209302
"45",2020-06-26,0.285714285714286
"46",2020-06-27,0.193548387096774
"47",2020-06-28,0.264705882352941
"48",2020-06-30,0.25
"49",2020-07-01,0.431818181818182
"50",2020-07-02,0.365853658536585
"51",2020-07-03,0.314285714285714
"52",2020-07-04,0.315789473684211
"53",2020-07-05,0.4
"54",2020-07-07,0.264705882352941
"55",2020-07-08,0.264705882352941
"56",2020-07-09,0.27027027027027
"57",2020-07-10,0.382352941176471
"58",2020-07-11,0.371428571428571
"59",2020-07-14,0.303030303030303
"60",2020-07-15,0.277777777777778
"61",2020-07-16,0.241379310344828
"62",2020-07-17,0.204545454545455
"63",2020-07-18,0.103448275862069
"64",2020-07-19,0.15625
"65",2020-07-21,0.353
"66",2020-07-24,0.182
"67",2020-07-25,0.276
"68",2020-07-26,0.235
"69",2020-07-30,0.355
"70",2020-07-31,0.41
"71",2020-08-01,0.361
"72",2020-08-04,0.344
"73",2020-08-05,0.294
"74",2020-08-06,0.125
"75",2020-08-09,0.324
"76",2020-08-11,0.355
"77",2020-08-12,0.074
"78",2020-08-13,0.278
"79",2020-08-14,0.255
"80",2020-08-15,0.206
"81",2020-08-16,0.314
"82",2020-08-18,0.273
"83",2020-08-19,0.194
"84",2020-08-20,0.194
"85",2020-08-21,0.133
"86",2020-08-23,0.382
"87",2020-08-24,0.378
"88",2020-08-25,0.156
"89",2020-08-26,0.286
"90",2020-08-27,0.069
"91",2020-08-28,0.139
"92",2020-08-30,0.206
"93",2020-08-30,0.27
"94",2020-09-01,0.378
"95",2020-09-03,0.353
"96",2020-09-04,0.371
"97",2020-09-04,0.273
"98",2020-09-05,0.297
"99",2020-09-06,0.316
"100",2020-09-08,0.182
"101",2020-09-09,0.132
"102",2020-09-10,0.25
"103",2020-09-11,0.194
"104",2020-09-12,0.29
"105",2020-09-13,0.364
"106",2020-09-15,0.222
"107",2020-09-16,0.442
"108",2020-09-17,0.29
"109",2020-09-18,0.275
"110",2020-09-19,0.235
"111",2020-09-20,0.297
