"","GDAY_DS","BA"
"1",2020-05-05,0.0689655172413793
"2",2020-05-06,0.272727272727273
"3",2020-05-07,0.384615384615385
"4",2020-05-08,0.325
"5",2020-05-10,0.103448275862069
"6",2020-05-12,0.264705882352941
"7",2020-05-13,0.294117647058824
"8",2020-05-14,0.129032258064516
"9",2020-05-15,0.0666666666666667
"10",2020-05-16,0.193548387096774
"11",2020-05-17,0.307692307692308
"12",2020-05-19,0.181818181818182
"13",2020-05-20,0.263157894736842
"14",2020-05-21,0.324324324324324
"15",2020-05-22,0.1875
"16",2020-05-23,0.28125
"17",2020-05-24,0.195121951219512
"18",2020-05-26,0.21875
"19",2020-05-27,0.193548387096774
"20",2020-05-28,0.289473684210526
"21",2020-05-29,0.323529411764706
"22",2020-05-30,0.258064516129032
"23",2020-05-31,0.333333333333333
"24",2020-06-02,0.297297297297297
"25",2020-06-03,0.289473684210526
"26",2020-06-04,0.166666666666667
"27",2020-06-05,0.214285714285714
"28",2020-06-06,0.230769230769231
"29",2020-06-07,0.181818181818182
"30",2020-06-09,0.263157894736842
"31",2020-06-11,0.176470588235294
"32",2020-06-11,0.264705882352941
"33",2020-06-12,0.166666666666667
"34",2020-06-13,0.166666666666667
"35",2020-06-14,0.107142857142857
"36",2020-06-16,0.315789473684211
"37",2020-06-17,0.27027027027027
"38",2020-06-18,0.241379310344828
"39",2020-06-19,0.242424242424242
"40",2020-06-20,0.277777777777778
"41",2020-06-21,0.125
"42",2020-06-23,0.35
"43",2020-06-25,0.358974358974359
"44",2020-06-25,0.303030303030303
"45",2020-06-26,0.3
"46",2020-06-27,0.1
"47",2020-06-28,0.15625
"48",2020-06-30,0.15625
"49",2020-07-01,0.133333333333333
"50",2020-07-02,0.285714285714286
"51",2020-07-03,0.3
"52",2020-07-04,0.277777777777778
"53",2020-07-05,0.294117647058824
"54",2020-07-07,0.333333333333333
"55",2020-07-08,0.233333333333333
"56",2020-07-09,0.137931034482759
"57",2020-07-10,0.297297297297297
"58",2020-07-11,0.258064516129032
"59",2020-07-13,0.0967741935483871
"60",2020-07-14,0.35
"61",2020-07-15,0.285714285714286
"62",2020-07-16,0.205882352941176
"63",2020-07-17,0.371428571428571
"64",2020-07-18,0.15625
"65",2020-07-19,0.2
"66",2020-07-21,0.382
"67",2020-07-24,0.235
"68",2020-07-26,0.286
"69",2020-07-27,0.313
"70",2020-07-28,0.235
"71",2020-07-29,0.35
"72",2020-07-30,0.133
"73",2020-07-31,0.129
"74",2020-08-01,0.188
"75",2020-08-04,0.194
"76",2020-08-06,0.242
"77",2020-08-07,0.125
"78",2020-08-08,0.158
"79",2020-08-11,0.133
"80",2020-08-12,0.333
"81",2020-08-13,0.39
"82",2020-08-14,0.387
"83",2020-08-15,0.273
"84",2020-08-16,0.206
"85",2020-08-18,0.258
"86",2020-08-19,0.478
"87",2020-08-20,0.314
"88",2020-08-21,0.375
"89",2020-08-22,0.25
"90",2020-08-22,0.265
"91",2020-08-25,0.297
"92",2020-08-26,0.138
"93",2020-08-27,0.389
"94",2020-08-28,0.333
"95",2020-08-29,0.257
"96",2020-08-30,0.212
"97",2020-09-01,0.286
"98",2020-09-03,0.25
"99",2020-09-04,0.156
"100",2020-09-04,0.294
"101",2020-09-05,0.167
"102",2020-09-06,0.097
"103",2020-09-08,0.356
"104",2020-09-09,0.257
"105",2020-09-10,0.25
"106",2020-09-11,0.242
"107",2020-09-12,0.172
"108",2020-09-13,0.148
"109",2020-09-15,0.425
"110",2020-09-16,0.297
"111",2020-09-17,0.133
"112",2020-09-18,0.258
"113",2020-09-19,0.1
"114",2020-09-20,0.107
