"","GDAY_DS","BA"
"1",2020-05-05,0.1
"2",2020-05-06,0.15625
"3",2020-05-07,0.15625
"4",2020-05-08,0.2
"5",2020-05-09,0.361111111111111
"6",2020-05-10,0.193548387096774
"7",2020-05-12,0.193548387096774
"8",2020-05-13,0.15625
"9",2020-05-14,0.411764705882353
"10",2020-05-15,0.307692307692308
"11",2020-05-16,0.235294117647059
"12",2020-05-17,0.212121212121212
"13",2020-05-19,0.314285714285714
"14",2020-05-20,0.192307692307692
"15",2020-05-21,0.0740740740740741
"16",2020-05-22,0.342857142857143
"17",2020-05-23,0.27027027027027
"18",2020-05-24,0.441176470588235
"19",2020-05-26,0.137931034482759
"20",2020-05-27,0.323529411764706
"21",2020-05-28,0.205882352941176
"22",2020-05-29,0.257142857142857
"23",2020-05-30,0.363636363636364
"24",2020-05-31,0.285714285714286
"25",2020-06-02,0.2
"26",2020-06-03,0.324324324324324
"27",2020-06-04,0.125
"28",2020-06-05,0.21875
"29",2020-06-06,0.21875
"30",2020-06-07,0.28125
"31",2020-06-09,0.314285714285714
"32",2020-06-10,0.266666666666667
"33",2020-06-11,0.21875
"34",2020-06-13,0.241379310344828
"35",2020-06-13,0.228571428571429
"36",2020-06-14,0.421052631578947
"37",2020-06-16,0.25
"38",2020-06-17,0.263157894736842
"39",2020-06-18,0.206896551724138
"40",2020-06-19,0.233333333333333
"41",2020-06-20,0.25
"42",2020-06-21,0.395348837209302
"43",2020-06-23,0.305555555555556
"44",2020-06-24,0.333333333333333
"45",2020-06-25,0.205882352941176
"46",2020-06-26,0.325
"47",2020-06-27,0.324324324324324
"48",2020-06-28,0.15625
"49",2020-06-30,0.25
"50",2020-07-01,0.303030303030303
"51",2020-07-02,0.34375
"52",2020-07-03,0.34375
"53",2020-07-04,0.282608695652174
"54",2020-07-05,0.297297297297297
"55",2020-07-07,0.465116279069767
"56",2020-07-08,0.264705882352941
"57",2020-07-09,0.294117647058824
"58",2020-07-10,0.257142857142857
"59",2020-07-11,0.277777777777778
"60",2020-07-14,0.333333333333333
"61",2020-07-15,0.2
"62",2020-07-16,0.368421052631579
"63",2020-07-17,0.435897435897436
"64",2020-07-18,0.333333333333333
"65",2020-07-19,0.225806451612903
"66",2020-07-21,0.25
"67",2020-07-25,0.219
"68",2020-07-26,0.333
"69",2020-07-29,0.265
"70",2020-07-30,0.167
"71",2020-07-31,0.229
"72",2020-08-01,0.235
"73",2020-08-02,0.256
"74",2020-08-04,0.206
"75",2020-08-05,0.353
"76",2020-08-06,0.289
"77",2020-08-07,0.207
"78",2020-08-08,0.294
"79",2020-08-11,0.235
"80",2020-08-12,0.381
"81",2020-08-13,0.273
"82",2020-08-14,0.366
"83",2020-08-15,0.103
"84",2020-08-16,0.156
"85",2020-08-18,0.188
"86",2020-08-19,0.324
"87",2020-08-20,0.257
"88",2020-08-21,0.297
"89",2020-08-22,0.286
"90",2020-08-23,0.129
"91",2020-08-25,0.226
"92",2020-08-26,0.257
"93",2020-08-27,0.25
"94",2020-08-29,0.27
"95",2020-08-30,0.294
"96",2020-09-01,0.133
"97",2020-09-03,0.457
"98",2020-09-04,0.432
"99",2020-09-06,0.294
"100",2020-09-08,0.194
"101",2020-09-09,0.226
"102",2020-09-09,0.097
"103",2020-09-10,0.27
"104",2020-09-11,0.222
"105",2020-09-12,0.219
"106",2020-09-13,0.429
"107",2020-09-15,0.378
"108",2020-09-16,0.359
"109",2020-09-17,0.212
"110",2020-09-18,0.257
"111",2020-09-19,0.297
"112",2020-09-20,0.429
