"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-15,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,0.248
"19",2020-05-26,0.233
"20",2020-05-27,0.238
"21",2020-05-28,0.228
"22",2020-05-29,0.24
"23",2020-05-30,0.221
"24",2020-05-31,0.213
"25",2020-06-02,0.214
"26",2020-06-03,0.212
"27",2020-06-04,0.212
"28",2020-06-05,0.201
"29",2020-06-06,0.209
"30",2020-06-07,0.204
"31",2020-06-09,0.211
"32",2020-06-10,0.208
"33",2020-06-11,0.204
"34",2020-06-12,0.199
"35",2020-06-13,0.208
"36",2020-06-14,0.213
"37",2020-06-16,0.222
"38",2020-06-17,0.215
"39",2020-06-18,0.22
"40",2020-06-19,0.211
"41",2020-06-20,0.219
"42",2020-06-21,0.218
"43",2020-06-23,0.229
"44",2020-06-24,0.23
"45",2020-06-25,0.241
"46",2020-06-26,0.258
"47",2020-06-27,0.255
"48",2020-06-28,0.255
"49",2020-07-01,0.269
"50",2020-07-02,0.273
"51",2020-07-03,0.262
"52",2020-07-04,0.265
"53",2020-07-05,0.268
"54",2020-07-07,0.265
"55",2020-07-08,0.258
"56",2020-07-09,0.255
"57",2020-07-10,0.246
"58",2020-07-11,0.241
"59",2020-07-13,0.245
"60",2020-07-14,0.245
"61",2020-07-15,0.248
"62",2020-07-16,0.24
"63",2020-07-17,0.224
"64",2020-07-18,0.225
"65",2020-07-19,0.225
"66",2020-07-21,0.211
"67",2020-07-22,0.202
"68",2020-07-24,0.204
"69",2020-07-26,0.206
"70",2020-07-27,0.201
"71",2020-07-29,0.222
"72",2020-07-30,0.208
"73",2020-07-31,0.217
"74",2020-08-01,0.219
"75",2020-08-05,0.234
"76",2020-08-06,0.228
"77",2020-08-09,0.229
"78",2020-08-11,0.23
"79",2020-08-12,0.219
"80",2020-08-13,0.227
"81",2020-08-14,0.218
"82",2020-08-15,0.219
"83",2020-08-16,0.205
"84",2020-08-18,0.203
"85",2020-08-19,0.212
"86",2020-08-20,0.196
"87",2020-08-21,0.207
"88",2020-08-23,0.204
"89",2020-08-23,0.22
"90",2020-08-25,0.228
"91",2020-08-26,0.226
"92",2020-08-27,0.238
"93",2020-08-29,0.244
"94",2020-08-30,0.24
"95",2020-09-01,0.227
"96",2020-09-03,0.234
"97",2020-09-04,0.246
"98",2020-09-05,0.247
"99",2020-09-06,0.252
"100",2020-09-08,0.256
"101",2020-09-09,0.259
"102",2020-09-09,0.266
"103",2020-09-10,0.257
"104",2020-09-11,0.249
"105",2020-09-12,0.243
"106",2020-09-13,0.237
"107",2020-09-15,0.241
"108",2020-09-16,0.242
"109",2020-09-17,0.227
"110",2020-09-18,0.225
"111",2020-09-19,0.218
"112",2020-09-20,0.236
