"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-15,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,0.277
"19",2020-05-26,0.284
"20",2020-05-27,0.272
"21",2020-05-28,0.272
"22",2020-05-29,0.266
"23",2020-05-30,0.278
"24",2020-05-31,0.28
"25",2020-06-02,0.288
"26",2020-06-03,0.298
"27",2020-06-04,0.296
"28",2020-06-05,0.282
"29",2020-06-06,0.275
"30",2020-06-07,0.275
"31",2020-06-09,0.263
"32",2020-06-10,0.269
"33",2020-06-11,0.279
"34",2020-06-12,0.278
"35",2020-06-13,0.269
"36",2020-06-14,0.262
"37",2020-06-16,0.262
"38",2020-06-17,0.268
"39",2020-06-19,0.274
"40",2020-06-20,0.276
"41",2020-06-21,0.276
"42",2020-06-23,0.28
"43",2020-06-26,0.286
"44",2020-06-27,0.264
"45",2020-06-28,0.245
"46",2020-07-01,0.251
"47",2020-07-02,0.261
"48",2020-07-03,0.261
"49",2020-07-04,0.26
"50",2020-07-05,0.257
"51",2020-07-07,0.246
"52",2020-07-08,0.246
"53",2020-07-09,0.253
"54",2020-07-10,0.261
"55",2020-07-11,0.266
"56",2020-07-13,0.281
"57",2020-07-14,0.278
"58",2020-07-15,0.28
"59",2020-07-16,0.278
"60",2020-07-17,0.282
"61",2020-07-18,0.283
"62",2020-07-19,0.281
"63",2020-07-21,0.264
"64",2020-07-22,0.253
"65",2020-07-25,0.262
"66",2020-07-26,0.268
"67",2020-07-30,0.265
"68",2020-07-31,0.262
"69",2020-08-01,0.262
"70",2020-08-02,0.247
"71",2020-08-04,0.242
"72",2020-08-05,0.242
"73",2020-08-06,0.251
"74",2020-08-08,0.238
"75",2020-08-09,0.226
"76",2020-08-11,0.234
"77",2020-08-12,0.216
"78",2020-08-13,0.208
"79",2020-08-14,0.209
"80",2020-08-15,0.23
"81",2020-08-16,0.247
"82",2020-08-18,0.251
"83",2020-08-19,0.249
"84",2020-08-20,0.239
"85",2020-08-21,0.243
"86",2020-08-22,0.24
"87",2020-08-23,0.247
"88",2020-08-25,0.25
"89",2020-08-26,0.263
"90",2020-08-27,0.263
"91",2020-08-28,0.271
"92",2020-08-30,0.277
"93",2020-08-30,0.281
"94",2020-09-01,0.283
"95",2020-09-03,0.284
"96",2020-09-04,0.28
"97",2020-09-04,0.278
"98",2020-09-05,0.287
"99",2020-09-06,0.287
"100",2020-09-08,0.282
"101",2020-09-10,0.276
"102",2020-09-12,0.284
"103",2020-09-13,0.286
"104",2020-09-15,0.274
"105",2020-09-16,0.277
"106",2020-09-17,0.289
"107",2020-09-18,0.299
"108",2020-09-19,0.304
"109",2020-09-20,0.302
