"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,0.303
"19",2020-05-27,0.302
"20",2020-05-28,0.305
"21",2020-05-29,0.296
"22",2020-05-30,0.287
"23",2020-05-31,0.292
"24",2020-06-02,0.291
"25",2020-06-03,0.297
"26",2020-06-04,0.296
"27",2020-06-05,0.292
"28",2020-06-06,0.279
"29",2020-06-07,0.272
"30",2020-06-09,0.264
"31",2020-06-10,0.252
"32",2020-06-11,0.268
"33",2020-06-13,0.26
"34",2020-06-13,0.257
"35",2020-06-14,0.261
"36",2020-06-16,0.259
"37",2020-06-17,0.263
"38",2020-06-18,0.271
"39",2020-06-19,0.282
"40",2020-06-20,0.269
"41",2020-06-21,0.262
"42",2020-06-23,0.26
"43",2020-06-25,0.253
"44",2020-06-25,0.268
"45",2020-06-26,0.271
"46",2020-06-27,0.264
"47",2020-06-28,0.264
"48",2020-06-30,0.263
"49",2020-07-01,0.281
"50",2020-07-02,0.29
"51",2020-07-03,0.294
"52",2020-07-04,0.297
"53",2020-07-05,0.309
"54",2020-07-07,0.306
"55",2020-07-08,0.303
"56",2020-07-09,0.3
"57",2020-07-10,0.31
"58",2020-07-11,0.319
"59",2020-07-14,0.319
"60",2020-07-15,0.316
"61",2020-07-16,0.309
"62",2020-07-17,0.298
"63",2020-07-18,0.277
"64",2020-07-19,0.263
"65",2020-07-21,0.27
"66",2020-07-24,0.258
"67",2020-07-25,0.257
"68",2020-07-26,0.252
"69",2020-07-30,0.261
"70",2020-07-31,0.275
"71",2020-08-01,0.283
"72",2020-08-04,0.29
"73",2020-08-05,0.291
"74",2020-08-06,0.274
"75",2020-08-09,0.279
"76",2020-08-11,0.288
"77",2020-08-12,0.267
"78",2020-08-13,0.269
"79",2020-08-14,0.269
"80",2020-08-15,0.263
"81",2020-08-16,0.269
"82",2020-08-18,0.269
"83",2020-08-19,0.26
"84",2020-08-20,0.252
"85",2020-08-21,0.237
"86",2020-08-23,0.25
"87",2020-08-24,0.261
"88",2020-08-25,0.249
"89",2020-08-26,0.252
"90",2020-08-27,0.233
"91",2020-08-28,0.222
"92",2020-08-30,0.22
"93",2020-08-30,0.223
"94",2020-09-01,0.239
"95",2020-09-03,0.252
"96",2020-09-04,0.264
"97",2020-09-04,0.267
"98",2020-09-05,0.271
"99",2020-09-06,0.277
"100",2020-09-08,0.269
"101",2020-09-09,0.256
"102",2020-09-10,0.256
"103",2020-09-11,0.25
"104",2020-09-12,0.253
"105",2020-09-13,0.265
"106",2020-09-15,0.262
"107",2020-09-16,0.281
"108",2020-09-17,0.284
"109",2020-09-18,0.284
"110",2020-09-19,0.279
"111",2020-09-20,0.28
