"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-16,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,0.264
"19",2020-05-27,0.279
"20",2020-05-28,0.287
"21",2020-05-29,0.289
"22",2020-05-30,0.278
"23",2020-05-31,0.296
"24",2020-06-02,0.283
"25",2020-06-03,0.292
"26",2020-06-04,0.302
"27",2020-06-05,0.291
"28",2020-06-06,0.282
"29",2020-06-07,0.288
"30",2020-06-09,0.288
"31",2020-06-11,0.292
"32",2020-06-11,0.278
"33",2020-06-12,0.263
"34",2020-06-13,0.263
"35",2020-06-14,0.276
"36",2020-06-16,0.286
"37",2020-06-17,0.294
"38",2020-06-18,0.295
"39",2020-06-19,0.302
"40",2020-06-20,0.297
"41",2020-06-21,0.293
"42",2020-06-23,0.295
"43",2020-06-25,0.292
"44",2020-06-25,0.29
"45",2020-06-26,0.273
"46",2020-06-27,0.277
"47",2020-06-28,0.277
"48",2020-06-30,0.275
"49",2020-07-01,0.275
"50",2020-07-02,0.267
"51",2020-07-03,0.27
"52",2020-07-04,0.259
"53",2020-07-05,0.251
"54",2020-07-07,0.256
"55",2020-07-08,0.261
"56",2020-07-09,0.24
"57",2020-07-10,0.231
"58",2020-07-11,0.236
"59",2020-07-14,0.217
"60",2020-07-15,0.23
"61",2020-07-16,0.249
"62",2020-07-17,0.256
"63",2020-07-18,0.25
"64",2020-07-19,0.246
"65",2020-07-21,0.256
"66",2020-07-24,0.269
"67",2020-07-25,0.273
"68",2020-07-26,0.268
"69",2020-07-28,0.29
"70",2020-07-29,0.3
"71",2020-07-30,0.306
"72",2020-07-31,0.291
"73",2020-08-01,0.303
"74",2020-08-04,0.315
"75",2020-08-05,0.317
"76",2020-08-06,0.3
"77",2020-08-07,0.298
"78",2020-08-08,0.292
"79",2020-08-09,0.275
"80",2020-08-11,0.271
"81",2020-08-12,0.278
"82",2020-08-13,0.277
"83",2020-08-14,0.29
"84",2020-08-15,0.298
"85",2020-08-16,0.29
"86",2020-08-18,0.293
"87",2020-08-19,0.299
"88",2020-08-20,0.294
"89",2020-08-21,0.293
"90",2020-08-23,0.284
"91",2020-08-24,0.27
"92",2020-08-25,0.263
"93",2020-08-26,0.265
"94",2020-08-27,0.259
"95",2020-08-28,0.262
"96",2020-08-29,0.262
"97",2020-08-30,0.262
"98",2020-09-01,0.263
"99",2020-09-03,0.263
"100",2020-09-04,0.264
"101",2020-09-06,0.27
"102",2020-09-07,0.284
"103",2020-09-08,0.288
"104",2020-09-10,0.289
"105",2020-09-11,0.286
"106",2020-09-12,0.265
"107",2020-09-13,0.251
"108",2020-09-15,0.246
"109",2020-09-16,0.259
"110",2020-09-17,0.256
"111",2020-09-18,0.25
"112",2020-09-19,0.27
"113",2020-09-20,0.269
