"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,0.245
"19",2020-05-27,0.233
"20",2020-05-28,0.223
"21",2020-05-29,0.228
"22",2020-05-30,0.23
"23",2020-05-31,0.225
"24",2020-06-02,0.223
"25",2020-06-03,0.209
"26",2020-06-04,0.216
"27",2020-06-05,0.224
"28",2020-06-06,0.22
"29",2020-06-07,0.228
"30",2020-06-09,0.25
"31",2020-06-10,0.263
"32",2020-06-11,0.27
"33",2020-06-12,0.269
"34",2020-06-13,0.268
"35",2020-06-14,0.283
"36",2020-06-16,0.286
"37",2020-06-17,0.287
"38",2020-06-18,0.287
"39",2020-06-19,0.292
"40",2020-06-20,0.299
"41",2020-06-21,0.296
"42",2020-06-23,0.295
"43",2020-06-26,0.289
"44",2020-06-27,0.28
"45",2020-06-28,0.28
"46",2020-06-30,0.287
"47",2020-07-01,0.276
"48",2020-07-02,0.276
"49",2020-07-03,0.275
"50",2020-07-04,0.286
"51",2020-07-05,0.279
"52",2020-07-07,0.28
"53",2020-07-08,0.288
"54",2020-07-09,0.276
"55",2020-07-10,0.27
"56",2020-07-11,0.27
"57",2020-07-14,0.275
"58",2020-07-15,0.28
"59",2020-07-16,0.291
"60",2020-07-17,0.297
"61",2020-07-18,0.29
"62",2020-07-19,0.282
"63",2020-07-21,0.282
"64",2020-07-24,0.281
"65",2020-07-25,0.279
"66",2020-07-26,0.274
"67",2020-07-28,0.285
"68",2020-07-31,0.274
"69",2020-08-01,0.279
"70",2020-08-02,0.284
"71",2020-08-04,0.293
"72",2020-08-06,0.282
"73",2020-08-07,0.285
"74",2020-08-08,0.283
"75",2020-08-12,0.294
"76",2020-08-13,0.286
"77",2020-08-14,0.293
"78",2020-08-15,0.284
"79",2020-08-16,0.276
"80",2020-08-18,0.265
"81",2020-08-19,0.271
"82",2020-08-20,0.274
"83",2020-08-21,0.255
"84",2020-08-22,0.261
"85",2020-08-23,0.261
"86",2020-08-25,0.263
"87",2020-08-26,0.249
"88",2020-08-27,0.257
"89",2020-08-28,0.263
"90",2020-08-29,0.27
"91",2020-08-30,0.273
"92",2020-09-01,0.266
"93",2020-09-03,0.256
"94",2020-09-04,0.247
"95",2020-09-04,0.264
"96",2020-09-06,0.248
"97",2020-09-07,0.265
"98",2020-09-08,0.257
"99",2020-09-09,0.253
"100",2020-09-10,0.275
"101",2020-09-11,0.287
"102",2020-09-12,0.279
"103",2020-09-13,0.268
"104",2020-09-15,0.272
"105",2020-09-16,0.281
"106",2020-09-17,0.277
"107",2020-09-18,0.271
"108",2020-09-19,0.267
"109",2020-09-20,0.264
"110",2020-09-20,0.269
