"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,0.29
"19",2020-05-27,0.3
"20",2020-05-28,0.306
"21",2020-05-29,0.3
"22",2020-05-30,0.283
"23",2020-05-31,0.299
"24",2020-06-02,0.289
"25",2020-06-03,0.301
"26",2020-06-04,0.303
"27",2020-06-05,0.314
"28",2020-06-06,0.318
"29",2020-06-07,0.319
"30",2020-06-09,0.324
"31",2020-06-10,0.313
"32",2020-06-11,0.319
"33",2020-06-12,0.311
"34",2020-06-13,0.311
"35",2020-06-14,0.318
"36",2020-06-16,0.314
"37",2020-06-17,0.303
"38",2020-06-19,0.295
"39",2020-06-20,0.289
"40",2020-06-21,0.29
"41",2020-06-23,0.282
"42",2020-06-25,0.27
"43",2020-06-25,0.268
"44",2020-06-26,0.274
"45",2020-06-27,0.262
"46",2020-06-28,0.266
"47",2020-06-30,0.266
"48",2020-07-01,0.259
"49",2020-07-02,0.27
"50",2020-07-03,0.269
"51",2020-07-04,0.283
"52",2020-07-05,0.277
"53",2020-07-07,0.274
"54",2020-07-08,0.268
"55",2020-07-09,0.275
"56",2020-07-10,0.287
"57",2020-07-11,0.279
"58",2020-07-14,0.26
"59",2020-07-15,0.267
"60",2020-07-16,0.276
"61",2020-07-17,0.267
"62",2020-07-18,0.273
"63",2020-07-19,0.28
"64",2020-07-21,0.286
"65",2020-07-24,0.279
"66",2020-07-25,0.271
"67",2020-07-26,0.264
"68",2020-07-28,0.278
"69",2020-07-31,0.289
"70",2020-08-01,0.295
"71",2020-08-02,0.285
"72",2020-08-05,0.277
"73",2020-08-06,0.274
"74",2020-08-08,0.265
"75",2020-08-09,0.275
"76",2020-08-12,0.274
"77",2020-08-13,0.282
"78",2020-08-14,0.275
"79",2020-08-15,0.277
"80",2020-08-16,0.275
"81",2020-08-18,0.273
"82",2020-08-19,0.265
"83",2020-08-20,0.286
"84",2020-08-21,0.284
"85",2020-08-23,0.281
"86",2020-08-24,0.276
"87",2020-08-25,0.288
"88",2020-08-26,0.291
"89",2020-08-27,0.301
"90",2020-08-28,0.301
"91",2020-08-29,0.313
"92",2020-08-30,0.308
"93",2020-09-01,0.309
"94",2020-09-02,0.305
"95",2020-09-03,0.316
"96",2020-09-04,0.314
"97",2020-09-06,0.298
"98",2020-09-08,0.31
"99",2020-09-09,0.305
"100",2020-09-10,0.311
"101",2020-09-11,0.314
"102",2020-09-12,0.302
"103",2020-09-13,0.296
"104",2020-09-15,0.283
"105",2020-09-16,0.276
"106",2020-09-17,0.273
"107",2020-09-18,0.27
"108",2020-09-19,0.271
"109",2020-09-20,0.271
"110",2020-09-21,0.279
