"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,0.3
"19",2020-05-27,0.291
"20",2020-05-28,0.271
"21",2020-05-29,0.258
"22",2020-05-30,0.259
"23",2020-05-31,0.257
"24",2020-06-02,0.272
"25",2020-06-03,0.262
"26",2020-06-04,0.27
"27",2020-06-05,0.265
"28",2020-06-06,0.268
"29",2020-06-07,0.269
"30",2020-06-09,0.275
"31",2020-06-10,0.28
"32",2020-06-11,0.282
"33",2020-06-12,0.279
"34",2020-06-13,0.284
"35",2020-06-14,0.281
"36",2020-06-16,0.275
"37",2020-06-17,0.273
"38",2020-06-18,0.28
"39",2020-06-19,0.296
"40",2020-06-20,0.297
"41",2020-06-21,0.29
"42",2020-06-23,0.292
"43",2020-06-25,0.304
"44",2020-06-25,0.286
"45",2020-06-26,0.279
"46",2020-06-27,0.29
"47",2020-06-28,0.276
"48",2020-06-30,0.268
"49",2020-07-01,0.287
"50",2020-07-02,0.285
"51",2020-07-03,0.282
"52",2020-07-04,0.28
"53",2020-07-05,0.29
"54",2020-07-07,0.302
"55",2020-07-08,0.309
"56",2020-07-09,0.315
"57",2020-07-10,0.315
"58",2020-07-11,0.307
"59",2020-07-14,0.309
"60",2020-07-15,0.319
"61",2020-07-16,0.319
"62",2020-07-17,0.312
"63",2020-07-18,0.319
"64",2020-07-19,0.317
"65",2020-07-21,0.309
"66",2020-07-24,0.303
"67",2020-07-25,0.304
"68",2020-07-26,0.298
"69",2020-07-28,0.292
"70",2020-07-30,0.289
"71",2020-07-31,0.294
"72",2020-08-01,0.301
"73",2020-08-02,0.302
"74",2020-08-04,0.297
"75",2020-08-05,0.281
"76",2020-08-06,0.274
"77",2020-08-07,0.277
"78",2020-08-08,0.267
"79",2020-08-11,0.266
"80",2020-08-12,0.294
"81",2020-08-13,0.278
"82",2020-08-14,0.272
"83",2020-08-15,0.279
"84",2020-08-16,0.261
"85",2020-08-18,0.272
"86",2020-08-19,0.265
"87",2020-08-20,0.273
"88",2020-08-21,0.261
"89",2020-08-22,0.265
"90",2020-08-23,0.264
"91",2020-08-25,0.279
"92",2020-08-26,0.284
"93",2020-08-27,0.292
"94",2020-08-28,0.304
"95",2020-08-29,0.306
"96",2020-08-30,0.299
"97",2020-09-01,0.3
"98",2020-09-03,0.297
"99",2020-09-04,0.294
"100",2020-09-05,0.285
"101",2020-09-06,0.294
"102",2020-09-08,0.299
"103",2020-09-09,0.293
"104",2020-09-10,0.289
"105",2020-09-12,0.272
"106",2020-09-13,0.275
"107",2020-09-15,0.273
"108",2020-09-16,0.265
"109",2020-09-17,0.254
"110",2020-09-18,0.254
"111",2020-09-19,0.255
"112",2020-09-20,0.257
