"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,0.227
"19",2020-05-27,0.224
"20",2020-05-28,0.23
"21",2020-05-29,0.24
"22",2020-05-30,0.242
"23",2020-05-31,0.254
"24",2020-06-02,0.26
"25",2020-06-03,0.265
"26",2020-06-04,0.257
"27",2020-06-05,0.254
"28",2020-06-06,0.252
"29",2020-06-07,0.244
"30",2020-06-09,0.246
"31",2020-06-11,0.238
"32",2020-06-11,0.24
"33",2020-06-12,0.232
"34",2020-06-13,0.225
"35",2020-06-14,0.211
"36",2020-06-16,0.22
"37",2020-06-17,0.224
"38",2020-06-18,0.224
"39",2020-06-19,0.225
"40",2020-06-20,0.229
"41",2020-06-21,0.218
"42",2020-06-23,0.231
"43",2020-06-25,0.245
"44",2020-06-25,0.253
"45",2020-06-26,0.26
"46",2020-06-27,0.245
"47",2020-06-28,0.237
"48",2020-06-30,0.229
"49",2020-07-01,0.219
"50",2020-07-02,0.226
"51",2020-07-03,0.233
"52",2020-07-04,0.238
"53",2020-07-05,0.244
"54",2020-07-07,0.253
"55",2020-07-08,0.251
"56",2020-07-09,0.239
"57",2020-07-10,0.245
"58",2020-07-11,0.246
"59",2020-07-13,0.231
"60",2020-07-14,0.242
"61",2020-07-15,0.247
"62",2020-07-16,0.243
"63",2020-07-17,0.258
"64",2020-07-18,0.249
"65",2020-07-19,0.245
"66",2020-07-21,0.26
"67",2020-07-24,0.257
"68",2020-07-26,0.26
"69",2020-07-27,0.265
"70",2020-07-28,0.263
"71",2020-07-29,0.272
"72",2020-07-30,0.259
"73",2020-07-31,0.246
"74",2020-08-01,0.24
"75",2020-08-04,0.234
"76",2020-08-06,0.234
"77",2020-08-07,0.221
"78",2020-08-08,0.212
"79",2020-08-11,0.202
"80",2020-08-12,0.213
"81",2020-08-13,0.23
"82",2020-08-14,0.246
"83",2020-08-15,0.249
"84",2020-08-16,0.245
"85",2020-08-18,0.247
"86",2020-08-19,0.272
"87",2020-08-20,0.278
"88",2020-08-21,0.291
"89",2020-08-22,0.29
"90",2020-08-22,0.292
"91",2020-08-25,0.295
"92",2020-08-26,0.281
"93",2020-08-27,0.294
"94",2020-08-28,0.3
"95",2020-08-29,0.297
"96",2020-08-30,0.289
"97",2020-09-01,0.288
"98",2020-09-03,0.283
"99",2020-09-04,0.268
"100",2020-09-04,0.269
"101",2020-09-05,0.257
"102",2020-09-06,0.238
"103",2020-09-08,0.247
"104",2020-09-09,0.246
"105",2020-09-10,0.245
"106",2020-09-11,0.243
"107",2020-09-12,0.235
"108",2020-09-13,0.225
"109",2020-09-15,0.244
"110",2020-09-16,0.25
"111",2020-09-17,0.237
"112",2020-09-18,0.239
"113",2020-09-19,0.224
"114",2020-09-20,0.211
