"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-15,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,0.264
"19",2020-05-26,0.253
"20",2020-05-27,0.261
"21",2020-05-28,0.257
"22",2020-05-29,0.257
"23",2020-05-30,0.268
"24",2020-05-31,0.271
"25",2020-06-02,0.265
"26",2020-06-03,0.271
"27",2020-06-04,0.256
"28",2020-06-05,0.252
"29",2020-06-06,0.248
"30",2020-06-07,0.251
"31",2020-06-09,0.258
"32",2020-06-10,0.259
"33",2020-06-11,0.255
"34",2020-06-13,0.252
"35",2020-06-13,0.249
"36",2020-06-14,0.266
"37",2020-06-16,0.265
"38",2020-06-17,0.265
"39",2020-06-18,0.26
"40",2020-06-19,0.257
"41",2020-06-20,0.256
"42",2020-06-21,0.271
"43",2020-06-23,0.276
"44",2020-06-24,0.283
"45",2020-06-25,0.277
"46",2020-06-26,0.283
"47",2020-06-27,0.288
"48",2020-06-28,0.274
"49",2020-06-30,0.272
"50",2020-07-01,0.275
"51",2020-07-02,0.283
"52",2020-07-03,0.289
"53",2020-07-04,0.289
"54",2020-07-05,0.29
"55",2020-07-07,0.309
"56",2020-07-08,0.306
"57",2020-07-09,0.306
"58",2020-07-10,0.302
"59",2020-07-11,0.3
"60",2020-07-14,0.303
"61",2020-07-15,0.293
"62",2020-07-16,0.301
"63",2020-07-17,0.316
"64",2020-07-18,0.319
"65",2020-07-19,0.31
"66",2020-07-21,0.305
"67",2020-07-25,0.295
"68",2020-07-26,0.298
"69",2020-07-29,0.294
"70",2020-07-30,0.279
"71",2020-07-31,0.273
"72",2020-08-01,0.267
"73",2020-08-02,0.264
"74",2020-08-04,0.257
"75",2020-08-05,0.265
"76",2020-08-06,0.267
"77",2020-08-07,0.259
"78",2020-08-08,0.262
"79",2020-08-11,0.258
"80",2020-08-12,0.269
"81",2020-08-13,0.269
"82",2020-08-14,0.28
"83",2020-08-15,0.263
"84",2020-08-16,0.252
"85",2020-08-18,0.245
"86",2020-08-19,0.253
"87",2020-08-20,0.253
"88",2020-08-21,0.258
"89",2020-08-22,0.261
"90",2020-08-23,0.247
"91",2020-08-25,0.244
"92",2020-08-26,0.244
"93",2020-08-27,0.244
"94",2020-08-29,0.246
"95",2020-08-30,0.25
"96",2020-09-01,0.238
"97",2020-09-03,0.26
"98",2020-09-04,0.278
"99",2020-09-06,0.282
"100",2020-09-08,0.274
"101",2020-09-09,0.272
"102",2020-09-09,0.254
"103",2020-09-10,0.256
"104",2020-09-11,0.252
"105",2020-09-12,0.248
"106",2020-09-13,0.267
"107",2020-09-15,0.279
"108",2020-09-16,0.289
"109",2020-09-17,0.282
"110",2020-09-18,0.28
"111",2020-09-19,0.282
"112",2020-09-20,0.297
