"","GDAY_DS","BA"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-16,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,0.252
"19",2020-05-26,0.243
"20",2020-05-27,0.249
"21",2020-05-28,0.263
"22",2020-05-29,0.261
"23",2020-05-30,0.278
"24",2020-05-31,0.278
"25",2020-06-02,0.295
"26",2020-06-03,0.295
"27",2020-06-04,0.296
"28",2020-06-05,0.293
"29",2020-06-06,0.293
"30",2020-06-07,0.286
"31",2020-06-09,0.289
"32",2020-06-10,0.274
"33",2020-06-11,0.264
"34",2020-06-12,0.248
"35",2020-06-13,0.261
"36",2020-06-14,0.259
"37",2020-06-16,0.25
"38",2020-06-17,0.252
"39",2020-06-18,0.239
"40",2020-06-19,0.231
"41",2020-06-20,0.238
"42",2020-06-21,0.241
"43",2020-06-23,0.251
"44",2020-06-25,0.254
"45",2020-06-25,0.25
"46",2020-06-26,0.258
"47",2020-06-27,0.25
"48",2020-06-28,0.246
"49",2020-06-30,0.263
"50",2020-07-01,0.267
"51",2020-07-02,0.284
"52",2020-07-03,0.275
"53",2020-07-04,0.285
"54",2020-07-05,0.293
"55",2020-07-07,0.286
"56",2020-07-08,0.29
"57",2020-07-09,0.286
"58",2020-07-10,0.291
"59",2020-07-11,0.291
"60",2020-07-13,0.275
"61",2020-07-14,0.279
"62",2020-07-15,0.283
"63",2020-07-16,0.274
"64",2020-07-17,0.281
"65",2020-07-18,0.274
"66",2020-07-19,0.267
"67",2020-07-21,0.264
"68",2020-07-24,0.255
"69",2020-07-25,0.238
"70",2020-07-26,0.251
"71",2020-07-28,0.248
"72",2020-07-30,0.261
"73",2020-07-31,0.263
"74",2020-08-01,0.285
"75",2020-08-02,0.284
"76",2020-08-04,0.286
"77",2020-08-05,0.297
"78",2020-08-06,0.294
"79",2020-08-07,0.284
"80",2020-08-08,0.285
"81",2020-08-09,0.282
"82",2020-08-11,0.281
"83",2020-08-12,0.284
"84",2020-08-13,0.293
"85",2020-08-14,0.279
"86",2020-08-15,0.277
"87",2020-08-16,0.275
"88",2020-08-18,0.266
"89",2020-08-19,0.26
"90",2020-08-20,0.258
"91",2020-08-21,0.248
"92",2020-08-22,0.252
"93",2020-08-23,0.262
"94",2020-08-25,0.263
"95",2020-08-26,0.259
"96",2020-08-27,0.271
"97",2020-08-28,0.276
"98",2020-08-29,0.276
"99",2020-08-30,0.281
"100",2020-09-01,0.272
"101",2020-09-02,0.267
"102",2020-09-03,0.267
"103",2020-09-04,0.26
"104",2020-09-05,0.249
"105",2020-09-06,0.25
"106",2020-09-08,0.265
"107",2020-09-09,0.27
"108",2020-09-10,0.261
"109",2020-09-11,0.269
"110",2020-09-12,0.271
"111",2020-09-13,0.27
"112",2020-09-15,0.272
"113",2020-09-16,0.256
"114",2020-09-17,0.245
"115",2020-09-18,0.232
"116",2020-09-19,0.247
"117",2020-09-20,0.258
