"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-15,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,4.889
"19",2020-05-26,4.749
"20",2020-05-27,5.854
"21",2020-05-28,5.637
"22",2020-05-29,5.848
"23",2020-05-30,6.152
"24",2020-05-31,6.222
"25",2020-06-02,7.129
"26",2020-06-03,6.912
"27",2020-06-04,6.69
"28",2020-06-05,7.187
"29",2020-06-06,7.942
"30",2020-06-07,7.906
"31",2020-06-09,8.064
"32",2020-06-10,8.456
"33",2020-06-11,8.199
"34",2020-06-12,7.936
"35",2020-06-13,7.766
"36",2020-06-14,6.947
"37",2020-06-16,7.123
"38",2020-06-17,6.842
"39",2020-06-18,6.83
"40",2020-06-19,6.374
"41",2020-06-20,5.836
"42",2020-06-21,5.86
"43",2020-06-23,5.772
"44",2020-06-24,5.31
"45",2020-06-25,4.86
"46",2020-06-26,4.632
"47",2020-06-27,4.55
"48",2020-06-28,4.836
"49",2020-07-01,4.696
"50",2020-07-02,4.795
"51",2020-07-03,4.503
"52",2020-07-04,4.123
"53",2020-07-05,4.398
"54",2020-07-07,4.561
"55",2020-07-08,4.69
"56",2020-07-09,4.731
"57",2020-07-10,4.772
"58",2020-07-11,4.719
"59",2020-07-13,4.345
"60",2020-07-14,4.503
"61",2020-07-15,4.351
"62",2020-07-16,4.322
"63",2020-07-17,4.702
"64",2020-07-18,4.415
"65",2020-07-19,4.456
"66",2020-07-21,4.918
"67",2020-07-22,4.637
"68",2020-07-24,4.895
"69",2020-07-26,5.146
"70",2020-07-27,5.158
"71",2020-07-29,5.357
"72",2020-07-30,4.924
"73",2020-07-31,4.52
"74",2020-08-01,4.778
"75",2020-08-05,4.813
"76",2020-08-06,4.743
"77",2020-08-09,4.883
"78",2020-08-11,4.784
"79",2020-08-12,4.591
"80",2020-08-14,5.135
"81",2020-08-15,4.801
"82",2020-08-16,4.503
"83",2020-08-18,4.415
"84",2020-08-19,6.228
"85",2020-08-20,5.965
"86",2020-08-21,5.485
"87",2020-08-23,5.251
"88",2020-08-24,4.936
"89",2020-08-25,5.585
"90",2020-08-26,5.684
"91",2020-08-27,5.123
"92",2020-08-29,5.515
"93",2020-08-30,5.158
"94",2020-09-01,4.924
"95",2020-09-03,5.012
"96",2020-09-04,4.573
"97",2020-09-05,4.573
"98",2020-09-06,4.772
"99",2020-09-08,4.462
"100",2020-09-09,4.363
"101",2020-09-10,4.357
"102",2020-09-11,4.135
"103",2020-09-12,4.234
"104",2020-09-13,4.322
"105",2020-09-15,4.281
"106",2020-09-16,4.865
"107",2020-09-17,4.877
"108",2020-09-18,4.398
"109",2020-09-19,4.585
"110",2020-09-20,4.421
