"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-15,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,2.912
"19",2020-05-26,2.503
"20",2020-05-27,2.684
"21",2020-05-28,2.953
"22",2020-05-29,3.216
"23",2020-05-30,3.363
"24",2020-05-31,4.398
"25",2020-06-02,4.216
"26",2020-06-03,4.029
"27",2020-06-04,3.953
"28",2020-06-05,4.094
"29",2020-06-06,3.93
"30",2020-06-07,3.883
"31",2020-06-09,3.743
"32",2020-06-10,3.392
"33",2020-06-11,4.304
"34",2020-06-12,4.205
"35",2020-06-13,3.772
"36",2020-06-14,3.778
"37",2020-06-16,3.772
"38",2020-06-17,3.743
"39",2020-06-19,3.719
"40",2020-06-20,3.602
"41",2020-06-21,4.345
"42",2020-06-23,4.316
"43",2020-06-26,4.444
"44",2020-06-27,4.24
"45",2020-06-28,3.93
"46",2020-07-01,3.842
"47",2020-07-02,3.556
"48",2020-07-03,3.38
"49",2020-07-04,3.947
"50",2020-07-05,4.263
"51",2020-07-07,4.433
"52",2020-07-08,4.743
"53",2020-07-09,4.608
"54",2020-07-10,4.877
"55",2020-07-11,4.708
"56",2020-07-13,4.544
"57",2020-07-14,4.596
"58",2020-07-15,4.327
"59",2020-07-16,4.696
"60",2020-07-17,4.45
"61",2020-07-18,4.637
"62",2020-07-19,5.029
