"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,5.053
"19",2020-05-27,4.485
"20",2020-05-28,4.485
"21",2020-05-29,4.404
"22",2020-05-30,5.386
"23",2020-05-31,5.567
"24",2020-06-02,6.199
"25",2020-06-03,5.86
"26",2020-06-04,6.795
"27",2020-06-05,6.813
"28",2020-06-06,6.287
"29",2020-06-07,6.193
"30",2020-06-09,5.865
"31",2020-06-10,6.111
"32",2020-06-11,6.316
"33",2020-06-13,6.211
"34",2020-06-13,6
"35",2020-06-14,6.62
"36",2020-06-16,6.485
"37",2020-06-17,6.24
"38",2020-06-18,5.865
"39",2020-06-19,6.029
"40",2020-06-20,6.17
"41",2020-06-21,5.713
"42",2020-06-23,5.497
"43",2020-06-25,5.216
"44",2020-06-25,4.825
"45",2020-06-26,4.924
"46",2020-06-27,4.602
"47",2020-06-28,4.485
"48",2020-06-30,4.374
"49",2020-07-01,4.363
"50",2020-07-02,4.158
"51",2020-07-03,3.877
"52",2020-07-04,4.456
"53",2020-07-05,4.474
"54",2020-07-07,4.216
"55",2020-07-08,4.187
"56",2020-07-09,4.789
"57",2020-07-10,4.614
"58",2020-07-11,4.784
"59",2020-07-14,4.544
"60",2020-07-15,4.83
"61",2020-07-16,4.468
"62",2020-07-17,4.327
"63",2020-07-18,4.497
"64",2020-07-19,4.877
"65",2020-07-21,5.327
"66",2020-07-24,5.117
"67",2020-07-25,4.807
"68",2020-07-26,4.725
"69",2020-07-30,4.322
"70",2020-07-31,3.924
"71",2020-08-01,3.474
"72",2020-08-04,3.263
"73",2020-08-05,3.579
"74",2020-08-06,3.456
"75",2020-08-09,3.269
"76",2020-08-11,2.877
"77",2020-08-12,3.678
"78",2020-08-13,3.901
"79",2020-08-13,4.444
"80",2020-08-14,4.31
"81",2020-08-15,4.281
"82",2020-08-16,3.947
"83",2020-08-18,3.76
"84",2020-08-19,3.825
"85",2020-08-20,3.462
"86",2020-08-21,3.637
"87",2020-08-23,3.386
"88",2020-08-24,3.135
"89",2020-08-25,3.094
"90",2020-08-26,3.246
"91",2020-08-27,2.959
"92",2020-08-28,3.234
"93",2020-08-30,3.386
"94",2020-08-30,3.415
"95",2020-08-31,3.211
"96",2020-09-03,3.058
"97",2020-09-04,2.93
"98",2020-09-04,3.158
"99",2020-09-05,2.953
"100",2020-09-06,3.398
"101",2020-09-08,3.912
"102",2020-09-09,3.76
"103",2020-09-10,4.673
"104",2020-09-11,5.199
"105",2020-09-12,4.965
"106",2020-09-13,4.83
"107",2020-09-15,5
"108",2020-09-16,5.152
"109",2020-09-17,4.667
"110",2020-09-18,4.503
"111",2020-09-19,4.041
"112",2020-09-20,3.713
