"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-16,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,3.813
"19",2020-05-27,3.778
"20",2020-05-28,3.31
"21",2020-05-29,3.082
"22",2020-05-30,3.193
"23",2020-05-31,3.351
"24",2020-06-02,3.205
"25",2020-06-03,4.023
"26",2020-06-04,3.632
"27",2020-06-05,3.883
"28",2020-06-06,4
"29",2020-06-07,3.684
"30",2020-06-09,3.836
"31",2020-06-11,3.573
"32",2020-06-11,3.526
"33",2020-06-12,3.357
"34",2020-06-13,3.626
"35",2020-06-14,3.895
"36",2020-06-16,4.047
"37",2020-06-17,3.749
"38",2020-06-18,3.994
"39",2020-06-19,5.468
"40",2020-06-20,5.795
"41",2020-06-21,5.579
"42",2020-06-23,5.795
"43",2020-06-25,5.772
"44",2020-06-25,6.099
"45",2020-06-26,6.17
"46",2020-06-27,5.608
"47",2020-06-28,5.076
"48",2020-06-30,4.865
"49",2020-07-01,5.404
"50",2020-07-02,5.257
"51",2020-07-03,5.105
"52",2020-07-04,5.257
"53",2020-07-05,4.982
"54",2020-07-07,5.251
"55",2020-07-08,5.187
"56",2020-07-09,5.205
"57",2020-07-10,5.854
"58",2020-07-11,5.801
"59",2020-07-14,5.661
"60",2020-07-15,5.409
"61",2020-07-16,5.708
"62",2020-07-17,5.146
"63",2020-07-18,4.737
"64",2020-07-19,4.462
"65",2020-07-21,5.018
"66",2020-07-24,4.567
"67",2020-07-25,4.76
"68",2020-07-26,4.55
"69",2020-07-28,4.766
"70",2020-07-29,4.86
"71",2020-07-30,4.433
"72",2020-07-31,4.123
"73",2020-08-01,4.269
"74",2020-08-04,4.094
"75",2020-08-05,4.041
"76",2020-08-06,4.982
"77",2020-08-07,4.719
"78",2020-08-08,4.784
"79",2020-08-09,4.415
"80",2020-08-11,4.825
"81",2020-08-12,4.345
"82",2020-08-13,3.977
"83",2020-08-14,3.93
"84",2020-08-15,3.918
"85",2020-08-16,3.994
"86",2020-08-18,4.082
"87",2020-08-19,3.737
"88",2020-08-20,3.953
"89",2020-08-21,3.854
"90",2020-08-23,3.637
"91",2020-08-24,3.632
"92",2020-08-25,3.637
"93",2020-08-26,3.743
"94",2020-08-27,3.316
"95",2020-08-28,3.491
"96",2020-08-29,3.649
"97",2020-08-30,3.386
"98",2020-09-01,3.544
"99",2020-09-03,3.719
"100",2020-09-04,3.865
"101",2020-09-06,3.567
"102",2020-09-07,4.444
"103",2020-09-08,4.117
"104",2020-09-10,3.813
"105",2020-09-11,4.269
"106",2020-09-12,4.368
"107",2020-09-13,4.895
"108",2020-09-15,5.07
"109",2020-09-16,5.117
"110",2020-09-17,4.737
"111",2020-09-18,4.585
"112",2020-09-19,4.76
"113",2020-09-20,4.901
