"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,4.883
"19",2020-05-27,5.538
"20",2020-05-28,5.298
"21",2020-05-29,5.164
"22",2020-05-30,5.023
"23",2020-05-31,4.801
"24",2020-06-02,4.982
"25",2020-06-03,5.608
"26",2020-06-04,5.801
"27",2020-06-05,5.667
"28",2020-06-06,5.099
"29",2020-06-07,4.749
"30",2020-06-09,4.503
"31",2020-06-10,4.082
"32",2020-06-11,3.585
"33",2020-06-12,3.333
"34",2020-06-13,3.532
"35",2020-06-14,4.187
"36",2020-06-16,4.152
"37",2020-06-17,4.094
"38",2020-06-18,3.971
"39",2020-06-19,4.48
"40",2020-06-20,4.012
"41",2020-06-21,3.883
"42",2020-06-23,3.754
"43",2020-06-26,3.965
"44",2020-06-27,4.205
"45",2020-06-28,4.135
"46",2020-06-30,4.596
"47",2020-07-01,4.696
"48",2020-07-02,4.883
"49",2020-07-03,4.947
"50",2020-07-04,4.883
"51",2020-07-05,5.006
"52",2020-07-07,5
"53",2020-07-08,4.684
"54",2020-07-09,4.31
"55",2020-07-10,4.585
"56",2020-07-11,4.105
"57",2020-07-14,3.643
"58",2020-07-15,4.181
"59",2020-07-16,4.772
"60",2020-07-17,5.848
"61",2020-07-18,5.801
"62",2020-07-19,5.339
"63",2020-07-21,5.643
"64",2020-07-24,5.287
"65",2020-07-25,5.07
"66",2020-07-26,5.392
"67",2020-07-28,5.702
"68",2020-07-31,5.363
"69",2020-08-01,5.14
"70",2020-08-02,4.62
"71",2020-08-04,4.129
"72",2020-08-06,3.86
"73",2020-08-07,3.795
"74",2020-08-08,3.433
"75",2020-08-12,3.38
"76",2020-08-13,3.83
"77",2020-08-14,3.333
"78",2020-08-15,3.211
"79",2020-08-16,3.474
"80",2020-08-18,3.942
"81",2020-08-19,3.842
"82",2020-08-20,3.982
"83",2020-08-21,3.684
"84",2020-08-22,3.503
"85",2020-08-23,3.146
"86",2020-08-25,3.889
"87",2020-08-26,3.637
"88",2020-08-27,4.24
"89",2020-08-28,4.579
"90",2020-08-29,4.877
"91",2020-08-30,4.62
"92",2020-09-01,5.006
"93",2020-09-03,4.93
"94",2020-09-04,4.959
"95",2020-09-04,5.222
"96",2020-09-06,5.234
"97",2020-09-07,5.234
"98",2020-09-08,5.766
"99",2020-09-09,5.76
"100",2020-09-10,6.058
"101",2020-09-11,5.813
"102",2020-09-12,5.345
"103",2020-09-13,5.094
"104",2020-09-15,5.035
"105",2020-09-16,4.585
"106",2020-09-17,4.977
"107",2020-09-18,4.737
"108",2020-09-19,4.31
"109",2020-09-20,4.55
"110",2020-09-20,4.655
