"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,6.52
"19",2020-05-27,6.058
"20",2020-05-28,6.053
"21",2020-05-29,5.596
"22",2020-05-30,5.357
"23",2020-05-31,4.953
"24",2020-06-02,5.135
"25",2020-06-03,4.994
"26",2020-06-04,5.292
"27",2020-06-05,4.725
"28",2020-06-06,4.474
"29",2020-06-07,4.175
"30",2020-06-09,4.93
"31",2020-06-10,4.485
"32",2020-06-11,4.673
"33",2020-06-12,4.257
"34",2020-06-13,4.509
"35",2020-06-14,4.327
"36",2020-06-16,4.205
"37",2020-06-17,4.404
"38",2020-06-18,4.053
"39",2020-06-19,4.573
"40",2020-06-20,4.316
"41",2020-06-21,3.965
"42",2020-06-23,3.725
"43",2020-06-25,3.936
"44",2020-06-25,4.135
"45",2020-06-26,4.556
"46",2020-06-27,4.404
"47",2020-06-28,4.462
"48",2020-06-30,5.029
"49",2020-07-01,4.871
"50",2020-07-02,5.439
"51",2020-07-03,5.041
"52",2020-07-04,5.17
"53",2020-07-05,5.094
"54",2020-07-07,5.222
"55",2020-07-08,5.544
"56",2020-07-09,5.012
"57",2020-07-10,5.012
"58",2020-07-11,4.93
"59",2020-07-14,5.573
"60",2020-07-15,5.211
"61",2020-07-16,4.743
"62",2020-07-17,4.515
"63",2020-07-18,3.988
"64",2020-07-19,3.93
"65",2020-07-21,3.55
"66",2020-07-24,3.825
"67",2020-07-25,3.696
"68",2020-07-26,3.462
"69",2020-07-28,3.591
"70",2020-07-30,4.012
"71",2020-07-31,4.632
"72",2020-08-01,5.111
"73",2020-08-02,5.047
"74",2020-08-04,5.216
"75",2020-08-05,4.825
"76",2020-08-06,4.561
"77",2020-08-07,4.626
"78",2020-08-08,4.304
"79",2020-08-11,3.988
"80",2020-08-12,4.409
"81",2020-08-13,4.275
"82",2020-08-14,4.228
"83",2020-08-15,4.181
"84",2020-08-16,3.906
"85",2020-08-18,3.661
"86",2020-08-19,3.842
"87",2020-08-20,4
"88",2020-08-21,3.52
"89",2020-08-22,3.193
"90",2020-08-23,2.918
"91",2020-08-25,3.216
"92",2020-08-26,3.608
"93",2020-08-27,4.099
"94",2020-08-28,4.129
"95",2020-08-29,4.251
"96",2020-08-30,4.269
"97",2020-09-01,3.848
"98",2020-09-03,4.485
"99",2020-09-04,5.216
"100",2020-09-05,4.848
"101",2020-09-06,4.392
"102",2020-09-08,3.959
"103",2020-09-09,3.854
"104",2020-09-10,3.848
"105",2020-09-12,3.643
"106",2020-09-13,3.883
"107",2020-09-15,3.772
"108",2020-09-16,3.754
"109",2020-09-17,3.614
"110",2020-09-18,3.702
"111",2020-09-19,4.222
"112",2020-09-20,4.421
