"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-10,NA
"6",2020-05-12,NA
"7",2020-05-13,NA
"8",2020-05-14,NA
"9",2020-05-15,NA
"10",2020-05-16,NA
"11",2020-05-17,NA
"12",2020-05-19,NA
"13",2020-05-20,NA
"14",2020-05-21,NA
"15",2020-05-22,NA
"16",2020-05-23,NA
"17",2020-05-24,NA
"18",2020-05-26,4.918
"19",2020-05-27,4.795
"20",2020-05-28,4.351
"21",2020-05-29,4.439
"22",2020-05-30,4.222
"23",2020-05-31,4.041
"24",2020-06-02,3.655
"25",2020-06-03,4.035
"26",2020-06-04,4.62
"27",2020-06-05,4.216
"28",2020-06-06,4.158
"29",2020-06-07,3.982
"30",2020-06-09,3.749
"31",2020-06-11,3.667
"32",2020-06-11,3.69
"33",2020-06-12,3.942
"34",2020-06-13,3.749
"35",2020-06-14,3.696
"36",2020-06-16,3.842
"37",2020-06-17,3.965
"38",2020-06-18,4.082
"39",2020-06-19,3.86
"40",2020-06-20,4.398
"41",2020-06-21,4.69
"42",2020-06-23,5.064
"43",2020-06-25,6.029
"44",2020-06-25,5.485
"45",2020-06-26,5
"46",2020-06-27,4.731
"47",2020-06-28,4.579
"48",2020-06-30,4.532
"49",2020-07-01,4.579
"50",2020-07-02,4.719
"51",2020-07-03,4.637
"52",2020-07-04,5.094
"53",2020-07-05,4.877
"54",2020-07-07,4.871
"55",2020-07-08,4.55
"56",2020-07-09,4.877
"57",2020-07-10,4.661
"58",2020-07-11,4.439
"59",2020-07-13,4.357
"60",2020-07-14,4.608
"61",2020-07-15,4.865
"62",2020-07-16,4.848
"63",2020-07-17,5.333
"64",2020-07-18,5.24
"65",2020-07-19,5.029
"66",2020-07-21,5.24
"67",2020-07-24,5.117
"68",2020-07-26,5
"69",2020-07-27,5
"70",2020-07-28,6.994
"71",2020-07-29,7.532
"72",2020-07-30,7.813
"73",2020-07-31,8.281
"74",2020-08-01,8.696
"75",2020-08-04,8.778
"76",2020-08-06,8.62
"77",2020-08-07,8.023
"78",2020-08-08,7.439
"79",2020-08-11,7.304
"80",2020-08-12,6.649
"81",2020-08-13,6.538
"82",2020-08-14,6.55
"83",2020-08-15,6.86
"84",2020-08-16,6.918
"85",2020-08-18,6.444
"86",2020-08-19,6.082
"87",2020-08-20,5.825
"88",2020-08-21,5.567
"89",2020-08-22,5.526
"90",2020-08-22,4.988
"91",2020-08-25,5.129
"92",2020-08-26,4.871
"93",2020-08-27,4.766
"94",2020-08-28,5.421
"95",2020-08-29,5.836
"96",2020-08-30,6
"97",2020-09-01,6.556
"98",2020-09-03,6.556
"99",2020-09-04,6.947
"100",2020-09-04,7
"101",2020-09-05,6.842
"102",2020-09-06,7.135
"103",2020-09-08,8.158
"104",2020-09-09,8.579
"105",2020-09-10,7.906
"106",2020-09-11,7.468
"107",2020-09-12,6.83
"108",2020-09-13,6.222
"109",2020-09-15,5.614
"110",2020-09-16,5.567
"111",2020-09-17,5.187
"112",2020-09-18,5.444
"113",2020-09-19,4.871
"114",2020-09-20,4.871
