"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-15,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,5.573
"19",2020-05-26,5.14
"20",2020-05-27,4.62
"21",2020-05-28,4.228
"22",2020-05-29,4.187
"23",2020-05-30,3.807
"24",2020-05-31,4.485
"25",2020-06-02,3.988
"26",2020-06-03,4.135
"27",2020-06-04,4.456
"28",2020-06-05,4.339
"29",2020-06-06,4.468
"30",2020-06-07,3.982
"31",2020-06-09,4.064
"32",2020-06-10,3.754
"33",2020-06-11,3.655
"34",2020-06-13,3.55
"35",2020-06-13,3.912
"36",2020-06-14,3.556
"37",2020-06-16,3.409
"38",2020-06-17,3.363
"39",2020-06-18,3.719
"40",2020-06-19,3.62
"41",2020-06-20,3.842
"42",2020-06-21,3.825
"43",2020-06-23,3.848
"44",2020-06-24,3.637
"45",2020-06-25,4.187
"46",2020-06-26,4.205
"47",2020-06-27,3.906
"48",2020-06-28,4.269
"49",2020-06-30,3.959
"50",2020-07-01,3.673
"51",2020-07-02,3.491
"52",2020-07-03,3.842
"53",2020-07-04,4.064
"54",2020-07-05,4.398
"55",2020-07-07,4.164
"56",2020-07-08,4.456
"57",2020-07-09,4.409
"58",2020-07-10,4.696
"59",2020-07-11,5.275
"60",2020-07-14,4.778
"61",2020-07-15,4.725
"62",2020-07-16,4.988
"63",2020-07-17,5.222
"64",2020-07-18,4.942
"65",2020-07-19,4.673
"66",2020-07-21,4.819
"67",2020-07-25,5.181
"68",2020-07-26,5.292
"69",2020-07-29,5.269
"70",2020-07-30,4.702
"71",2020-07-31,5.228
"72",2020-08-01,6.889
"73",2020-08-02,6.678
"74",2020-08-04,6.246
"75",2020-08-05,5.632
"76",2020-08-06,5.567
"77",2020-08-07,4.988
"78",2020-08-08,4.678
"79",2020-08-11,4.778
"80",2020-08-12,5.813
"81",2020-08-13,5.433
"82",2020-08-14,4.977
"83",2020-08-15,4.421
"84",2020-08-16,4.193
"85",2020-08-18,4.193
"86",2020-08-19,4.316
"87",2020-08-20,4.123
"88",2020-08-21,4.468
"89",2020-08-22,4.45
"90",2020-08-23,4.778
"91",2020-08-25,4.655
"92",2020-08-26,5.064
"93",2020-08-27,5.333
"94",2020-08-29,5.246
"95",2020-08-30,5.058
"96",2020-09-01,5.17
"97",2020-09-03,5.257
"98",2020-09-04,5.24
"99",2020-09-06,5.07
"100",2020-09-08,5
"101",2020-09-09,4.912
"102",2020-09-10,5.749
"103",2020-09-11,6.421
"104",2020-09-12,5.895
"105",2020-09-13,5.292
"106",2020-09-15,4.708
"107",2020-09-16,5.327
"108",2020-09-17,6.018
"109",2020-09-18,6.789
"110",2020-09-19,6.977
"111",2020-09-20,6.953
