"","GDAY_DS","ER"
"1",2020-05-05,NA
"2",2020-05-06,NA
"3",2020-05-07,NA
"4",2020-05-08,NA
"5",2020-05-09,NA
"6",2020-05-10,NA
"7",2020-05-12,NA
"8",2020-05-13,NA
"9",2020-05-14,NA
"10",2020-05-16,NA
"11",2020-05-16,NA
"12",2020-05-17,NA
"13",2020-05-19,NA
"14",2020-05-20,NA
"15",2020-05-21,NA
"16",2020-05-22,NA
"17",2020-05-23,NA
"18",2020-05-24,4.433
"19",2020-05-26,4.749
"20",2020-05-27,5.234
"21",2020-05-28,5.678
"22",2020-05-29,5.17
"23",2020-05-30,4.994
"24",2020-05-31,5.766
"25",2020-06-02,5.433
"26",2020-06-03,5.088
"27",2020-06-04,4.854
"28",2020-06-05,4.649
"29",2020-06-06,4.55
"30",2020-06-07,4.667
"31",2020-06-09,4.456
"32",2020-06-10,4.152
"33",2020-06-11,4.281
"34",2020-06-12,4
"35",2020-06-13,4.07
"36",2020-06-14,4.55
"37",2020-06-16,4.567
"38",2020-06-17,4.386
"39",2020-06-18,4.029
"40",2020-06-19,3.719
"41",2020-06-20,3.509
"42",2020-06-21,3.304
"43",2020-06-23,3.263
"44",2020-06-25,3.111
"45",2020-06-25,3.275
"46",2020-06-26,3.743
"47",2020-06-27,3.339
"48",2020-06-28,2.959
"49",2020-06-30,2.825
"50",2020-07-01,3.959
"51",2020-07-02,4.181
"52",2020-07-03,3.877
"53",2020-07-04,4.105
"54",2020-07-05,4.749
"55",2020-07-07,5.386
"56",2020-07-08,5.573
"57",2020-07-09,5.322
"58",2020-07-10,5.801
"59",2020-07-11,6.129
"60",2020-07-13,6.947
"61",2020-07-14,6.439
"62",2020-07-15,6.257
"63",2020-07-16,6.591
"64",2020-07-17,7.111
"65",2020-07-18,6.561
"66",2020-07-19,6.322
"67",2020-07-21,6.269
"68",2020-07-24,5.982
"69",2020-07-25,5.965
"70",2020-07-26,5.316
"71",2020-07-28,4.883
"72",2020-07-30,4.789
"73",2020-07-31,4.515
"74",2020-08-01,4.596
"75",2020-08-02,4.257
"76",2020-08-04,4.129
"77",2020-08-05,3.819
"78",2020-08-06,3.544
"79",2020-08-07,3.649
"80",2020-08-08,3.31
"81",2020-08-09,2.988
"82",2020-08-11,3.135
"83",2020-08-12,3
"84",2020-08-13,2.965
"85",2020-08-14,3.146
"86",2020-08-15,2.807
"87",2020-08-16,2.807
"88",2020-08-18,3.035
"89",2020-08-19,3.023
"90",2020-08-20,3.216
"91",2020-08-21,3.62
"92",2020-08-22,3.368
"93",2020-08-23,3.883
"94",2020-08-25,3.626
"95",2020-08-26,3.912
"96",2020-08-27,4.281
"97",2020-08-28,4.304
"98",2020-08-29,4.439
"99",2020-08-30,4.234
"100",2020-09-01,4.339
"101",2020-09-02,4.339
"102",2020-09-03,4.222
"103",2020-09-04,4.526
"104",2020-09-05,4.924
"105",2020-09-06,5.17
"106",2020-09-08,5.918
"107",2020-09-09,5.784
"108",2020-09-10,5.327
"109",2020-09-11,5
"110",2020-09-12,4.491
"111",2020-09-13,4.515
"112",2020-09-15,4.871
"113",2020-09-16,5.187
"114",2020-09-17,4.86
"115",2020-09-18,4.456
"116",2020-09-19,4.596
"117",2020-09-20,5.047
