"","GDAY_DS","WLS"
"18",2020-05-24,NA
"19",2020-05-26,NA
"20",2020-05-27,NA
"21",2020-05-28,NA
"22",2020-05-29,NA
"23",2020-05-30,NA
"24",2020-05-31,NA
"25",2020-06-02,NA
"26",2020-06-03,NA
"27",2020-06-04,NA
"28",2020-06-05,NA
"29",2020-06-06,NA
"30",2020-06-07,NA
"31",2020-06-09,NA
"32",2020-06-10,NA
"33",2020-06-11,NA
"34",2020-06-12,NA
"35",2020-06-13,0.105
"36",2020-06-14,0.205
"37",2020-06-16,0.193
"38",2020-06-17,0.181
"39",2020-06-18,0.17
"40",2020-06-19,0.158
"41",2020-06-20,0.251
"42",2020-06-21,0.234
"43",2020-06-23,0.216
"44",2020-06-24,0.199
"45",2020-06-25,0.287
"46",2020-06-26,0.368
"47",2020-06-27,0.339
"48",2020-06-28,0.31
"49",2020-07-01,0.281
"50",2020-07-02,0.251
"51",2020-07-03,0.222
"52",2020-07-04,0.298
"53",2020-07-05,0.263
"54",2020-07-07,0.339
"55",2020-07-08,0.31
"56",2020-07-09,0.281
"57",2020-07-10,0.357
"58",2020-07-11,0.322
"59",2020-07-13,0.392
"60",2020-07-14,0.357
"61",2020-07-15,0.427
"62",2020-07-16,0.386
"63",2020-07-17,0.345
"64",2020-07-18,0.31
"65",2020-07-19,0.281
"66",2020-07-21,0.251
"67",2020-07-22,0.222
"68",2020-07-24,0.193
"69",2020-07-26,0.164
"71",2020-07-29,0.24
"72",2020-07-30,0.211
"73",2020-07-31,0.287
"74",2020-08-01,0.257
"75",2020-08-05,0.333
"76",2020-08-06,0.298
"77",2020-08-09,0.269
"78",2020-08-11,0.345
"79",2020-08-12,0.316
"80",2020-08-14,0.287
"81",2020-08-15,0.263
"82",2020-08-16,0.345
"83",2020-08-18,0.316
"84",2020-08-19,0.287
"85",2020-08-20,0.257
"86",2020-08-21,0.333
"87",2020-08-23,0.404
"88",2020-08-24,0.468
"89",2020-08-25,0.421
"90",2020-08-26,0.38
"91",2020-08-27,0.444
"92",2020-08-29,0.404
"93",2020-08-30,0.363
"94",2020-09-01,0.327
"95",2020-09-03,0.292
"96",2020-09-04,0.363
"97",2020-09-05,0.327
"98",2020-09-06,0.292
"99",2020-09-08,0.363
"101",2020-09-10,0.322
"102",2020-09-11,0.287
"103",2020-09-12,0.251
"104",2020-09-13,0.216
"105",2020-09-15,0.287
"106",2020-09-16,0.251
"107",2020-09-17,0.222
"108",2020-09-18,0.304
"109",2020-09-19,0.275
"110",2020-09-20,0.351
