"","GDAY_DS","WLS"
"18",2020-05-24,NA
"19",2020-05-26,NA
"20",2020-05-27,NA
"21",2020-05-28,NA
"22",2020-05-29,NA
"23",2020-05-30,NA
"24",2020-05-31,NA
"25",2020-06-02,NA
"26",2020-06-03,NA
"27",2020-06-04,NA
"28",2020-06-05,NA
"29",2020-06-06,NA
"30",2020-06-07,NA
"31",2020-06-09,NA
"32",2020-06-10,NA
"33",2020-06-11,NA
"34",2020-06-12,NA
"35",2020-06-13,0.579
"36",2020-06-14,0.526
"37",2020-06-16,0.579
"38",2020-06-17,0.632
"39",2020-06-19,0.678
"40",2020-06-20,0.719
"41",2020-06-21,0.649
"42",2020-06-23,0.585
"43",2020-06-26,0.626
"44",2020-06-27,0.561
"45",2020-06-28,0.503
"46",2020-07-01,0.556
"47",2020-07-02,0.602
"48",2020-07-03,0.643
"49",2020-07-04,0.573
"50",2020-07-05,0.509
"51",2020-07-07,0.45
"52",2020-07-08,0.392
"53",2020-07-09,0.444
"54",2020-07-10,0.497
"55",2020-07-11,0.544
"56",2020-07-13,0.591
"57",2020-07-14,0.532
"58",2020-07-15,0.585
"59",2020-07-16,0.532
"60",2020-07-17,0.585
"61",2020-07-18,0.526
"62",2020-07-19,0.474
