"","GDAY_DS","WLS"
"18",2020-05-26,NA
"19",2020-05-27,NA
"20",2020-05-28,NA
"21",2020-05-29,NA
"22",2020-05-30,NA
"23",2020-05-31,NA
"24",2020-06-02,NA
"25",2020-06-03,NA
"26",2020-06-04,NA
"27",2020-06-05,NA
"28",2020-06-06,NA
"29",2020-06-07,NA
"30",2020-06-09,NA
"31",2020-06-10,NA
"32",2020-06-11,NA
"33",2020-06-13,NA
"34",2020-06-13,NA
"35",2020-06-14,0.298
"36",2020-06-16,0.368
"37",2020-06-17,0.433
"38",2020-06-18,0.497
"39",2020-06-19,0.561
"40",2020-06-20,0.515
"41",2020-06-21,0.573
"42",2020-06-23,0.526
"43",2020-06-25,0.48
"44",2020-06-25,0.544
"45",2020-06-26,0.497
"46",2020-06-27,0.556
"47",2020-06-28,0.608
"48",2020-06-30,0.55
"49",2020-07-01,0.596
"50",2020-07-02,0.637
"51",2020-07-03,0.678
"52",2020-07-04,0.608
"53",2020-07-05,0.649
"54",2020-07-07,0.684
"55",2020-07-08,0.719
"56",2020-07-09,0.649
"57",2020-07-10,0.69
"58",2020-07-11,0.731
"59",2020-07-14,0.766
"60",2020-07-15,0.696
"61",2020-07-16,0.731
"63",2020-07-18,0.655
"64",2020-07-19,0.585
"65",2020-07-21,0.62
"66",2020-07-24,0.55
"67",2020-07-25,0.591
"68",2020-07-26,0.52
"69",2020-07-30,0.561
"70",2020-07-31,0.602
"71",2020-08-01,0.643
"72",2020-08-04,0.678
"73",2020-08-05,0.608
"74",2020-08-06,0.544
"75",2020-08-09,0.591
"76",2020-08-11,0.632
"77",2020-08-12,0.567
"78",2020-08-13,0.509
"79",2020-08-13,0.456
"80",2020-08-14,0.509
"81",2020-08-15,0.456
"82",2020-08-16,0.509
"83",2020-08-18,0.556
"84",2020-08-19,0.602
"85",2020-08-20,0.643
"86",2020-08-21,0.579
"87",2020-08-23,0.62
"88",2020-08-24,0.661
"89",2020-08-25,0.596
"90",2020-08-26,0.643
"91",2020-08-27,0.585
"92",2020-08-28,0.526
"93",2020-08-30,0.573
"94",2020-08-30,0.515
"95",2020-08-31,0.567
"96",2020-09-03,0.614
"97",2020-09-04,0.655
"98",2020-09-04,0.69
"99",2020-09-05,0.725
"100",2020-09-06,0.754
"101",2020-09-08,0.678
"102",2020-09-09,0.608
"103",2020-09-10,0.544
"104",2020-09-11,0.485
"105",2020-09-12,0.532
"106",2020-09-13,0.579
"107",2020-09-15,0.52
"108",2020-09-16,0.567
"109",2020-09-17,0.614
"110",2020-09-18,0.655
"111",2020-09-19,0.69
"112",2020-09-20,0.725
