"","GDAY_DS","WLS"
"18",2020-05-26,NA
"19",2020-05-27,NA
"20",2020-05-28,NA
"21",2020-05-29,NA
"22",2020-05-30,NA
"23",2020-05-31,NA
"24",2020-06-02,NA
"25",2020-06-03,NA
"26",2020-06-04,NA
"27",2020-06-05,NA
"28",2020-06-06,NA
"29",2020-06-07,NA
"30",2020-06-09,NA
"31",2020-06-11,NA
"32",2020-06-11,NA
"33",2020-06-12,NA
"34",2020-06-13,NA
"35",2020-06-14,0.585
"36",2020-06-16,0.626
"37",2020-06-17,0.667
"38",2020-06-18,0.708
"39",2020-06-19,0.643
"40",2020-06-20,0.585
"41",2020-06-21,0.526
"42",2020-06-23,0.474
"43",2020-06-25,0.421
"44",2020-06-25,0.368
"45",2020-06-26,0.322
"46",2020-06-27,0.38
"47",2020-06-28,0.433
"48",2020-06-30,0.485
"49",2020-07-01,0.427
"50",2020-07-02,0.374
"51",2020-07-03,0.327
"52",2020-07-04,0.287
"53",2020-07-05,0.351
"54",2020-07-07,0.31
"55",2020-07-08,0.38
"56",2020-07-09,0.345
"57",2020-07-10,0.316
"59",2020-07-14,0.287
"60",2020-07-15,0.363
"61",2020-07-16,0.327
"62",2020-07-17,0.398
"63",2020-07-18,0.462
"64",2020-07-19,0.52
"65",2020-07-21,0.468
"66",2020-07-24,0.526
"67",2020-07-25,0.48
"68",2020-07-26,0.544
"69",2020-07-28,0.602
"70",2020-07-29,0.655
"71",2020-07-30,0.702
"72",2020-07-31,0.637
"73",2020-08-01,0.684
"74",2020-08-04,0.725
"75",2020-08-05,0.766
"76",2020-08-06,0.696
"77",2020-08-07,0.731
"78",2020-08-08,0.655
"79",2020-08-09,0.585
"80",2020-08-11,0.515
"81",2020-08-12,0.556
"82",2020-08-13,0.596
"83",2020-08-14,0.637
"84",2020-08-15,0.673
"85",2020-08-16,0.708
"86",2020-08-18,0.737
"87",2020-08-19,0.766
"88",2020-08-20,0.69
"89",2020-08-21,0.725
"90",2020-08-23,0.655
"91",2020-08-24,0.585
"92",2020-08-25,0.52
"93",2020-08-26,0.567
"94",2020-08-27,0.614
"95",2020-08-28,0.655
"97",2020-08-30,0.696
"98",2020-09-01,0.731
"99",2020-09-03,0.76
"101",2020-09-06,0.784
"102",2020-09-07,0.702
"103",2020-09-08,0.626
"104",2020-09-10,0.661
"105",2020-09-11,0.591
"106",2020-09-12,0.632
"107",2020-09-13,0.567
"108",2020-09-15,0.509
"109",2020-09-16,0.556
"110",2020-09-17,0.602
"111",2020-09-18,0.538
"112",2020-09-19,0.579
"113",2020-09-20,0.509
