"","GDAY_DS","WLS"
"18",2020-05-26,NA
"19",2020-05-27,NA
"20",2020-05-28,NA
"21",2020-05-29,NA
"22",2020-05-30,NA
"23",2020-05-31,NA
"24",2020-06-02,NA
"25",2020-06-03,NA
"26",2020-06-04,NA
"27",2020-06-05,NA
"28",2020-06-06,NA
"29",2020-06-07,NA
"30",2020-06-09,NA
"31",2020-06-10,NA
"32",2020-06-11,NA
"33",2020-06-12,NA
"34",2020-06-13,NA
"35",2020-06-14,0.579
"36",2020-06-16,0.632
"37",2020-06-17,0.579
"38",2020-06-18,0.526
"39",2020-06-19,0.474
"40",2020-06-20,0.526
"41",2020-06-21,0.468
"42",2020-06-23,0.52
"43",2020-06-26,0.462
"44",2020-06-27,0.404
"45",2020-06-28,0.45
"46",2020-06-30,0.497
"47",2020-07-01,0.439
"48",2020-07-02,0.386
"49",2020-07-03,0.339
"50",2020-07-04,0.404
"51",2020-07-05,0.363
"52",2020-07-07,0.322
"53",2020-07-08,0.392
"54",2020-07-09,0.456
"55",2020-07-10,0.415
"56",2020-07-11,0.48
"57",2020-07-14,0.538
"58",2020-07-15,0.485
"59",2020-07-16,0.544
"60",2020-07-17,0.491
"61",2020-07-18,0.444
"62",2020-07-19,0.503
"63",2020-07-21,0.45
"64",2020-07-24,0.509
"65",2020-07-25,0.567
"66",2020-07-26,0.515
"67",2020-07-28,0.567
"68",2020-07-31,0.509
"69",2020-08-01,0.561
"70",2020-08-02,0.608
"71",2020-08-04,0.649
"72",2020-08-06,0.69
"73",2020-08-07,0.731
"75",2020-08-12,0.766
"76",2020-08-13,0.696
"77",2020-08-14,0.737
"78",2020-08-15,0.667
"79",2020-08-16,0.602
"80",2020-08-18,0.538
"81",2020-08-19,0.579
"82",2020-08-20,0.62
"83",2020-08-21,0.55
"84",2020-08-22,0.591
"85",2020-08-23,0.632
"86",2020-08-25,0.561
"87",2020-08-26,0.602
"88",2020-08-27,0.532
"89",2020-08-28,0.468
"90",2020-08-29,0.515
"91",2020-08-30,0.561
"92",2020-09-01,0.503
"93",2020-09-03,0.45
"94",2020-09-04,0.404
"95",2020-09-04,0.462
"96",2020-09-06,0.415
"97",2020-09-07,0.474
"98",2020-09-08,0.421
"99",2020-09-09,0.474
"100",2020-09-10,0.526
"101",2020-09-11,0.579
"102",2020-09-12,0.52
"103",2020-09-13,0.468
"104",2020-09-15,0.421
"105",2020-09-16,0.48
"106",2020-09-17,0.433
"107",2020-09-18,0.491
"108",2020-09-19,0.544
"109",2020-09-20,0.491
"110",2020-09-20,0.444
