"","GDAY_DS","WLS"
"18",2020-05-26,NA
"19",2020-05-27,NA
"20",2020-05-28,NA
"21",2020-05-29,NA
"22",2020-05-30,NA
"23",2020-05-31,NA
"24",2020-06-02,NA
"25",2020-06-03,NA
"26",2020-06-04,NA
"27",2020-06-05,NA
"28",2020-06-06,NA
"29",2020-06-07,NA
"30",2020-06-09,NA
"31",2020-06-10,NA
"32",2020-06-11,NA
"33",2020-06-12,NA
"34",2020-06-13,NA
"35",2020-06-14,0.632
"36",2020-06-16,0.561
"37",2020-06-17,0.497
"38",2020-06-19,0.544
"39",2020-06-20,0.485
"40",2020-06-21,0.532
"41",2020-06-23,0.573
"42",2020-06-25,0.614
"43",2020-06-25,0.544
"44",2020-06-26,0.585
"45",2020-06-27,0.52
"46",2020-06-28,0.567
"47",2020-06-30,0.509
"48",2020-07-01,0.561
"49",2020-07-02,0.614
"50",2020-07-03,0.556
"51",2020-07-04,0.608
"52",2020-07-05,0.655
"53",2020-07-07,0.696
"54",2020-07-08,0.632
"55",2020-07-09,0.673
"56",2020-07-10,0.708
"58",2020-07-14,0.637
"59",2020-07-15,0.567
"60",2020-07-16,0.608
"62",2020-07-18,0.649
"63",2020-07-19,0.69
"64",2020-07-21,0.725
"65",2020-07-24,0.76
"66",2020-07-25,0.684
"67",2020-07-26,0.719
"68",2020-07-28,0.643
"69",2020-07-31,0.678
"70",2020-08-01,0.608
"71",2020-08-02,0.538
"72",2020-08-05,0.474
"73",2020-08-06,0.52
"74",2020-08-08,0.462
"75",2020-08-09,0.509
"76",2020-08-12,0.45
"77",2020-08-13,0.503
"78",2020-08-14,0.444
"79",2020-08-15,0.386
"80",2020-08-16,0.333
"81",2020-08-18,0.392
"82",2020-08-19,0.345
"83",2020-08-20,0.409
"84",2020-08-21,0.474
"85",2020-08-23,0.427
"86",2020-08-24,0.386
"87",2020-08-25,0.45
"88",2020-08-26,0.515
"89",2020-08-27,0.573
"90",2020-08-28,0.52
"91",2020-08-29,0.573
"92",2020-08-30,0.626
"93",2020-09-01,0.673
"94",2020-09-02,0.614
"95",2020-09-03,0.556
"97",2020-09-06,0.503
"98",2020-09-08,0.556
"99",2020-09-09,0.497
"100",2020-09-10,0.544
"101",2020-09-10,0.591
"102",2020-09-12,0.526
"103",2020-09-13,0.468
"104",2020-09-15,0.415
"105",2020-09-16,0.468
"106",2020-09-17,0.515
"107",2020-09-18,0.561
"108",2020-09-19,0.503
"109",2020-09-20,0.556
"110",2020-09-20,0.602
