"","GDAY_DS","WLS"
"18",2020-05-26,NA
"19",2020-05-27,NA
"20",2020-05-28,NA
"21",2020-05-29,NA
"22",2020-05-30,NA
"23",2020-05-31,NA
"24",2020-06-02,NA
"25",2020-06-03,NA
"26",2020-06-04,NA
"27",2020-06-05,NA
"28",2020-06-06,NA
"29",2020-06-07,NA
"30",2020-06-09,NA
"31",2020-06-11,NA
"32",2020-06-11,NA
"33",2020-06-12,NA
"34",2020-06-13,NA
"35",2020-06-14,0.45
"36",2020-06-16,0.398
"37",2020-06-17,0.345
"38",2020-06-18,0.292
"39",2020-06-19,0.246
"40",2020-06-20,0.205
"41",2020-06-21,0.17
"42",2020-06-23,0.14
"43",2020-06-25,0.117
"44",2020-06-25,0.199
"45",2020-06-26,0.275
"46",2020-06-27,0.246
"47",2020-06-28,0.222
"48",2020-06-30,0.199
"49",2020-07-01,0.181
"50",2020-07-02,0.164
"51",2020-07-03,0.251
"52",2020-07-04,0.228
"53",2020-07-05,0.31
"54",2020-07-07,0.287
"55",2020-07-08,0.368
"56",2020-07-09,0.339
"57",2020-07-10,0.31
"58",2020-07-11,0.386
"59",2020-07-13,0.351
"60",2020-07-14,0.421
"61",2020-07-15,0.38
"62",2020-07-16,0.339
"63",2020-07-17,0.409
"64",2020-07-18,0.374
"65",2020-07-19,0.444
"66",2020-07-21,0.509
"67",2020-07-24,0.567
"68",2020-07-26,0.62
"70",2020-07-28,0.561
"71",2020-07-29,0.509
"72",2020-07-30,0.456
"73",2020-07-31,0.409
"74",2020-08-01,0.363
"75",2020-08-04,0.322
"76",2020-08-06,0.281
"77",2020-08-07,0.24
"78",2020-08-08,0.31
"79",2020-08-11,0.269
"80",2020-08-12,0.339
"81",2020-08-13,0.404
"82",2020-08-14,0.357
"83",2020-08-15,0.316
"84",2020-08-16,0.275
"85",2020-08-18,0.345
"86",2020-08-19,0.415
"87",2020-08-20,0.38
"88",2020-08-21,0.456
"89",2020-08-22,0.421
"90",2020-08-22,0.491
"91",2020-08-25,0.556
"92",2020-08-26,0.509
"93",2020-08-27,0.567
"94",2020-08-28,0.515
"95",2020-08-29,0.462
"96",2020-08-30,0.409
"97",2020-09-01,0.363
"98",2020-09-03,0.316
"99",2020-09-04,0.275
"100",2020-09-04,0.24
"101",2020-09-05,0.205
"102",2020-09-06,0.17
"103",2020-09-08,0.135
"104",2020-09-09,0.105
"105",2020-09-10,0.187
"106",2020-09-11,0.263
"107",2020-09-12,0.339
"108",2020-09-13,0.409
"109",2020-09-15,0.48
"110",2020-09-16,0.55
"111",2020-09-17,0.509
"112",2020-09-18,0.474
"113",2020-09-19,0.439
"114",2020-09-20,0.404
