"","GDAY_DS","WLS"
"18",2020-05-24,NA
"19",2020-05-26,NA
"20",2020-05-27,NA
"21",2020-05-28,NA
"22",2020-05-29,NA
"23",2020-05-30,NA
"24",2020-05-31,NA
"25",2020-06-02,NA
"26",2020-06-03,NA
"27",2020-06-04,NA
"28",2020-06-05,NA
"29",2020-06-06,NA
"30",2020-06-07,NA
"31",2020-06-09,NA
"32",2020-06-10,NA
"33",2020-06-11,NA
"34",2020-06-13,NA
"35",2020-06-13,0.567
"36",2020-06-14,0.608
"37",2020-06-16,0.649
"38",2020-06-17,0.684
"39",2020-06-18,0.614
"40",2020-06-19,0.55
"41",2020-06-20,0.491
"42",2020-06-21,0.544
"43",2020-06-23,0.591
"44",2020-06-24,0.637
"45",2020-06-25,0.579
"46",2020-06-26,0.626
"47",2020-06-27,0.667
"48",2020-06-28,0.596
"49",2020-06-30,0.637
"50",2020-07-01,0.673
"51",2020-07-02,0.708
"52",2020-07-03,0.743
"53",2020-07-04,0.778
"54",2020-07-05,0.702
"55",2020-07-07,0.737
"56",2020-07-08,0.667
"57",2020-07-09,0.602
"58",2020-07-10,0.538
"59",2020-07-11,0.474
"60",2020-07-14,0.515
"61",2020-07-15,0.45
"62",2020-07-16,0.497
"63",2020-07-17,0.544
"64",2020-07-18,0.585
"65",2020-07-19,0.52
"66",2020-07-21,0.462
"67",2020-07-25,0.404
"68",2020-07-26,0.351
"69",2020-07-29,0.304
"70",2020-07-30,0.368
"71",2020-07-31,0.327
"72",2020-08-01,0.292
"73",2020-08-02,0.257
"74",2020-08-04,0.333
"76",2020-08-06,0.298
"77",2020-08-07,0.368
"78",2020-08-08,0.327
"79",2020-08-11,0.287
"80",2020-08-12,0.251
"81",2020-08-13,0.322
"82",2020-08-14,0.392
"83",2020-08-15,0.462
"84",2020-08-16,0.427
"85",2020-08-18,0.392
"86",2020-08-19,0.357
"87",2020-08-20,0.427
"88",2020-08-21,0.386
"89",2020-08-22,0.345
"90",2020-08-23,0.31
"91",2020-08-25,0.38
"92",2020-08-26,0.339
"93",2020-08-27,0.298
"94",2020-08-29,0.368
"95",2020-08-30,0.327
"96",2020-09-01,0.292
"97",2020-09-03,0.363
"98",2020-09-04,0.427
"99",2020-09-06,0.38
"100",2020-09-08,0.339
"101",2020-09-09,0.304
"102",2020-09-10,0.275
"103",2020-09-11,0.246
"104",2020-09-12,0.322
"105",2020-09-13,0.392
"106",2020-09-15,0.462
"107",2020-09-16,0.421
"108",2020-09-17,0.38
"109",2020-09-18,0.339
"110",2020-09-19,0.304
"111",2020-09-20,0.374
