"","GDAY_DS","WLS"
"18",2020-05-24,NA
"19",2020-05-26,NA
"20",2020-05-27,NA
"21",2020-05-28,NA
"22",2020-05-29,NA
"23",2020-05-30,NA
"24",2020-05-31,NA
"25",2020-06-02,NA
"26",2020-06-03,NA
"27",2020-06-04,NA
"28",2020-06-05,NA
"29",2020-06-06,NA
"30",2020-06-07,NA
"31",2020-06-09,NA
"32",2020-06-10,NA
"33",2020-06-11,NA
"34",2020-06-12,NA
"35",2020-06-13,0.643
"36",2020-06-14,0.585
"37",2020-06-16,0.526
"38",2020-06-17,0.573
"39",2020-06-18,0.614
"40",2020-06-19,0.649
"41",2020-06-20,0.684
"42",2020-06-21,0.719
"43",2020-06-23,0.749
"44",2020-06-25,0.778
"45",2020-06-25,0.807
"46",2020-06-26,0.731
"47",2020-06-27,0.766
"48",2020-06-28,0.801
"49",2020-06-30,0.83
"50",2020-07-01,0.754
"51",2020-07-02,0.784
"52",2020-07-03,0.702
"53",2020-07-04,0.731
"54",2020-07-05,0.655
"55",2020-07-07,0.579
"56",2020-07-08,0.608
"57",2020-07-09,0.637
"58",2020-07-10,0.561
"59",2020-07-11,0.491
"60",2020-07-13,0.427
"61",2020-07-14,0.474
"62",2020-07-15,0.52
"63",2020-07-16,0.462
"64",2020-07-17,0.409
"65",2020-07-18,0.462
"66",2020-07-19,0.409
"67",2020-07-21,0.363
"68",2020-07-24,0.322
"69",2020-07-25,0.281
"70",2020-07-26,0.351
"71",2020-07-28,0.415
"72",2020-07-30,0.48
"73",2020-07-31,0.538
"74",2020-08-01,0.485
"75",2020-08-02,0.544
"76",2020-08-04,0.497
"77",2020-08-05,0.556
"78",2020-08-06,0.608
"79",2020-08-07,0.55
"80",2020-08-08,0.602
"81",2020-08-09,0.655
"82",2020-08-11,0.596
"83",2020-08-12,0.643
"84",2020-08-13,0.69
"85",2020-08-14,0.626
"86",2020-08-15,0.667
"87",2020-08-16,0.702
"88",2020-08-18,0.626
"89",2020-08-19,0.661
"90",2020-08-20,0.696
"91",2020-08-21,0.626
"92",2020-08-22,0.561
"93",2020-08-23,0.602
"94",2020-08-25,0.643
"95",2020-08-26,0.573
"96",2020-08-27,0.614
"97",2020-08-28,0.655
"98",2020-08-29,0.585
"99",2020-08-30,0.626
"100",2020-09-01,0.561
"101",2020-09-02,0.602
"102",2020-09-03,0.643
"103",2020-09-04,0.579
"104",2020-09-05,0.515
"105",2020-09-06,0.456
"106",2020-09-08,0.509
"107",2020-09-09,0.556
"108",2020-09-10,0.497
"109",2020-09-11,0.55
"110",2020-09-12,0.596
"112",2020-09-15,0.532
"113",2020-09-16,0.474
"114",2020-09-17,0.526
"115",2020-09-18,0.468
"116",2020-09-19,0.52
"117",2020-09-20,0.468
